"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",2,69,0,0,1,0,0,0,0,0,4,1,0,4,0,0,4,0,21,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,4,0,0,4,0,0,0,1,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,0,0,0
"2",8,24,0,1,33,2,6,0,1,62,103,534,3,6,8,4,111,2,104,4,1,36,10,135,1,32,16,0,311,465,16,0,7,82,0,0,4,1,145,7,22,71,39,1,80,4,1,0,3,2,26,2,0,184,5,71,52,94,5,1,0,333,5,3,398,36,14,124,0,3,35,67,0,19,8,14,2,21,12,118
"3",0,23,0,0,5,0,2,0,0,0,1,1,0,21,0,1,0,6,0,0,0,0,0,4,0,0,6,0,70,0,0,0,1,3,1,0,0,0,0,1,0,51,1,0,35,0,0,0,0,0,0,6,0,4,0,0,2,0,0,0,0,61,0,1,4,12,2,0,0,0,2,6,0,0,0,0,0,2,7,17
"4",5,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,69,2,8,0,0,2,16,0,12,0,0,0,50,1,0,0,0,30,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,15,0,0,11,0,4,1,0,0,1,1,0,3,2,0,0,0,0,0
"5",5,0,0,0,0,2,1,0,0,26,0,5,4,114,0,18,0,0,0,1,0,0,5,10,0,0,34,0,16,101,3,0,7,7,0,0,0,0,0,42,1,64,6,1,1,21,1,0,4,1,3,6,0,78,0,0,21,0,0,0,0,0,0,0,57,30,0,0,0,2,0,0,0,21,7,15,2,55,13,54
"6",0,15,0,0,21,0,2,0,0,0,12,0,46,0,0,0,97,1,0,0,0,7,0,0,5,8,4,0,26,0,4,0,5,0,0,0,0,0,0,8,4,221,0,0,1,2,1,0,0,0,17,0,0,20,5,0,0,1,2,0,1,5,5,0,8,4,90,0,0,4,3,0,0,9,4,1,0,6,0,0
"7",15,112,0,0,1,1,1,0,2,14,22,5,30,51,0,0,131,6,95,0,1,30,1,4,1,0,5,2,3,5,3,0,9,41,0,0,3,0,150,25,10,103,15,0,11,6,3,0,0,3,9,5,33,4,0,54,0,72,0,0,0,8,5,0,49,11,17,0,0,1,0,188,0,0,15,33,3,0,5,43
"8",1,23,0,0,22,0,0,1,0,9,0,0,0,11,1,0,3,6,19,1,0,0,0,2,3,2,0,0,4,5,0,0,1,0,0,0,4,0,8,0,2,34,0,1,0,1,0,0,2,0,2,0,0,2,0,8,4,6,1,0,0,138,0,0,17,3,10,0,0,0,2,29,0,5,15,6,0,1,22,14
"9",0,98,0,0,0,3,0,0,1,0,0,1,0,4,0,0,6,6,0,3,0,0,0,0,7,1,1,0,17,5,0,0,0,0,0,0,0,1,0,1,4,14,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,6,0,1,73,2,3,0,0,0,0,12,0,17,0,12,0,0,0,0
"10",0,11,0,0,0,0,6,0,0,11,0,0,6,18,0,0,55,3,1,0,0,5,1,5,0,0,10,0,11,1,1,0,0,0,0,0,2,0,4,2,0,25,0,0,6,0,0,0,0,0,0,0,0,38,0,0,0,17,1,0,0,1,1,2,0,0,0,0,0,1,5,24,0,0,0,4,1,0,0,1
