"","DA01128","DA00755","DA01157","DA01259","DA00886","DA00810","DA00491","DA00153","DA00885","DA00318","DA01211","DA01231","DA00953","DA01223","DA00236","DA01203","DA01441","DA01134","DA00346","DA01467","DA00984","DA01482","DA01255","DA01547","DA01571","DA01072","DA01556","DA00565","DA00812","DA00595","DA00997","DA00165","DA01381","DA01073","DA00382","DA01380","DA00621","DA00884","DA00949","DA01588","DA01076","DA00369","DA00581","DA00721","DA01555","DA00658","DA00908","DA01324","DA00383","DA00673","DA01370","DA00703","DA01044","DA01242","DA01501","DA00678","DA01408","DA00632","DA00955","DA00299","DA00498","DA00815","DA01161","DA00603","DA00927","DA01071","DA01291","DA01495","DA00155","DA00307","DA01024","DA01026","DA01109","DA00530","DA01193","DA00331","DA00687","DA00431","DA00896","DA00926"
"Otu00159",0,0.11,10,0,0,0,0,0,1,0.5,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,1.03,0,0,0,0,0,0.04,0,0,0,0,0,0,6,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00559",0.06,4,0.03,0.02,0,1,0.01,5,0,0,0,0,0.03,0,0.07,0,0,2,0,0,0,0.01,0.02,6,0,0.01,0,0,0,0.08,0,0,0,0,0,0,0,0,0.01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.03,0
"Otu00396",0.01,0.01,0.03,6,13,0.09,2,0,0,0,0,0.01,0.1,0,0,0,2,0,0.15,0,0.46,2,0,0.1,0,0.02,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,3.19,0,0,0,0,0,2,0,0,0,0,0,0,0,0.05,0,0,0,0,3,0,0,2,0,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0
"Otu00019",36,0.23,0.95,0.36,10,31.49,0.18,3,0.11,0.07,2196,119,64,0.31,17,40,0,12.99,0.03,0.05,0.27,0.01,0.12,0.05,955,0.03,0,1,1,0.32,1,0.03,1,1,1,13,0.25,1.95,775,7,147,21,0,0,0,201,185,1.02,0.01,92,0,0,0.34,0.29,51,3,0.12,0.01,302,40,212.82,2,0.13,6,0.09,383,3.82,3,0,1,508,35.91,0.01,0,2,0,0.3,3,0.03,1
"Otu00623",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00557",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00490",0,0.04,1,0,0,0,0,0,0,0.12,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.02,1,0.01,0,0,0,0.01,0.01,0.01,0,0,0,0,0.02,0,0,0,0.02,0,0,4,0,0,0,0,0,0,0,0.07,0,0,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00605",0,0,0,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Otu00425",0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0,0,0,0,0,0.03,0.01,1,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.53,0,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0.01,1,0,0,0,0,0.03
