"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",6,39,29,0.08,1.89,4,4,21,51,12,0.75,2,12.88,0,4.29,2,13,1,412,3,7,0,4,10,3,1,113,6,1,24,6,18,3,3,16,10,25,2,9.89,4,4,0.32,1,36,25,2,26,2,4,2.89,32,19,1,11,1.29,13,4,1,48,1,3.17,5,162,14,17,3,2.8,26.38,1,273,1,61.05,18,36.08,2,1.19,429,3,81,6.06
"2",4.34,6,32,0.09,1.58,3,2,114,3,11.3,0.48,2,4,0,0.05,2,2,1.94,29,6,3,0,6,4,9,1.52,5,0.02,3,1,5,5,0.06,0.6,4.29,0.13,24.55,2.78,2,2.23,2,0.32,3,4.59,18,3,9,4,2.93,0.26,1,8.3,0,23,3.17,0.29,5.28,1,29,4.73,0.01,2,47,23,37,3.58,34,2,0.13,5,10,1,1,1.58,54,1.46,161.4,7,267,1
"3",0.39,0.08,0.38,0,0,0,0.15,0.3,6,14,0.3,0.41,2,0,0.12,3,1,0,0.69,0.04,0.39,0,0.23,10,0.36,0.14,2,0,1,1,21,6,1,0.15,2,1.45,1.03,1,0,0.11,0.01,0.32,1,0.19,14,0.04,5,1,0.03,1,3,0.09,0.18,21,0.02,0.47,0.04,0.01,1,0,0,0.18,0.76,44,0.13,0,0.37,5,1,2,0.18,0.27,2,0.34,7,0,1,1,4,0.05
"4",4.46,98,43,0.04,0.02,5.83,2,20,116,12.27,0.58,9,6.44,0,0,4,18,0.03,148,1,12,0,2,22,21,0.26,7,1,1,2,2.57,21,0.63,2,11,2,16,0.1,7.72,3,2,1.21,0.28,18,3,0.07,59,7,1,0.02,8,12,0,18,0,2,13,1.28,5.8,0.08,0,1.77,1,6,1.67,1,1.46,0.45,0,133,6,15,9,0.37,5,1,70,0.28,137,1
"5",1,3,1,1,0.01,1,17.29,4,16,1,0.53,2.39,1,1.27,2,3,12.19,2.87,78,1,3.59,0,2.41,98,5.25,1.59,20,1,2.08,1,7,5,0.23,1,2,0.56,3.27,1,0.12,6,6.99,0.82,3.54,2,1,0.34,42,4,1.24,1,5,2,2,3,0.01,2,1.85,0.04,60,0.02,0,8,11,64,6,0.68,0.03,1,1.8,129,3,5,4,4,12.01,0.03,5,2,46,0.05
"6",14.69,37,48,0,1,0.04,8,12,22,18,0.34,4.16,0.91,0,0,1,59,1.81,20,1,11.34,0,4,38,9,0.88,58,2,0.47,3,8,14,1,2,39,8.67,1,0.1,0.15,2,1.45,0.32,1.23,2,4,0.23,71,17.78,2,0,6,8,0,2,0,7.09,1,1,43,0,1,15,6,44,5,0,10,7.22,0,63,0.01,9.14,41,6,1,0.01,7,3.65,131,0.01
"7",4,1.73,1,0.41,0.02,0,12,14,1,7,0.24,1,0.04,0,0.01,3,1.34,0.03,13,0.06,1.54,0,8,61,7,2,20,0.01,0.26,5,0.63,2,0.22,0.09,9,2,0.54,3,0.02,2.03,0.11,1.21,5.98,0.08,3.63,4,7,2,3,0,9,2.02,0,46,0.7,0.49,0.14,2.59,66,0.14,0,2,4,2,1.28,0.03,2,1,0.02,9,0.48,14,4.51,3,5,1,60,2,72,1
"8",0.63,3,1.72,1,2,1,1,6,3,47,0.62,1.15,1,0,0.01,1.46,3,0.17,4,0.02,19,0,0.65,1,2.18,0.25,1,0.01,0.19,1.64,3,1.3,0.04,3,1,2.22,8.39,0.02,1,4,0.14,1.21,0.32,1,7,3,8,23,0.03,0.47,0.49,4.02,0,4,0.03,0.65,1,0,33,3,0,9,29,11,2.17,0,5,0.44,0.22,1,3,20,1.21,8,16,1,33,1.24,97,0.42
"9",0.05,2.72,6,0,0.01,0.25,0.18,8,1.15,2,0.31,4,0.01,0,0,7,28,0.04,58,0.03,18,0,0.4,5.57,17,0.01,3,0,1,0.23,0.15,20,0,2,0.21,1,0.19,0,0,2,0.05,0.32,2,9,7,0.09,28,0.53,0.06,0,0.04,11.83,0,33,0,0.07,2,0.03,22,1,1,0.18,36,12,1,0.01,0.01,0.28,0,19,0.17,0.14,1,0.38,0.3,0.01,4,0.17,8.21,0
"10",5,0.1,12,1,0.01,1,2.03,6,3,5,0.5,0.25,0.04,0,1,1.43,20,0,4.95,0.07,0.9,0,25,1,8,3,3,0.02,0.25,4,4,2,0.13,1,3,2,1.85,1.05,0.01,3,0.01,0.32,2.25,1.42,3,2,9,15,1.71,0.02,13,0.45,0,42,0.04,0.36,3,0.91,5,0.01,0,6,30,1,1,0.01,1,0.33,0.39,6.35,1,11,1,6,15,0.64,7.71,1,15.89,0
