"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",1.25,3,2,2,14,5,1.6,0.04,49,156,0,0.65,0.64,2.87,1,1,0,0,1,1,0.06,0,0.07,1,10,1.05,22,0,0.04,2.87,0.84,0.66,13,2,0.01,3.88,0.11,0.02,0,4,10.57,977,1,0.09,0,0,2,26,0.01,4.01,12.55,12,3.09,57,0.07,0,88,2.49,0,2,0,0.65,1.87,20,1.01,1.22,45,7,1,1.02,12,0,0,18,1,1,12,0,0.06,0
"2",1.25,4,0,50,13,0,5.03,1,5.86,12,2.5,1,2,21.87,1,14,2.29,0,0.76,3.08,1.02,0.02,0,1,1,6.75,18,0,1,4.75,1,17.54,14,2.69,9.5,16,1,17.42,0,48,1,9,1.23,106.25,0,0,6,16,1,2,10.51,27,20,13,0.19,0,210,25,19.5,1.58,1,3.78,4,9,1.01,3.47,25,6,15,0.75,3,0,2,6.09,1,1,2,0,0.05,0.17
"3",1.25,0.04,0,3,1.42,0,2,0.01,0.55,11,0,10,0.33,108,2,1,10.4,0,9,3.05,23.41,10,12,2,3.18,1,11.41,0,3,1.24,9,2.77,19.77,1,12.36,0.84,1.49,2.17,0.18,183,24,42,13,138.19,0,0,2,18,0.09,4,1,34,4,63.78,9.1,0,43,3,0.02,6.4,0,4.85,11,173,1.01,4,2212,9.57,2,0.98,231,0,0,5.18,1,0.49,2,0,0.11,0
"4",0.75,0,4,0.86,4.18,0,13.17,0,0.63,44,0,4,1.73,2,1,0.92,0,0,3,5,0.09,2.27,0,2.47,0.51,0,12,0,0,2,2.55,10.15,24.96,1.16,0,3,5.31,3,0.06,1,6,19,5.63,0,0,0,0,54,10,3,23,1,114,35,0,0,5,31,0,1.5,0.34,1,1.7,79,1.01,32,2,11.74,1.4,0.32,20,0,0.01,8.13,0.43,0,1,0,0.01,0
"5",1.25,0,1.81,4,4.62,0.66,10,0.02,1,100,0,2.61,0.49,4,1,9,0,2.01,5.73,16,4,33,0.02,1.54,1,5.4,10.39,1.8,1,6.56,1,5.76,6,0.54,0.03,8,47,0.2,0,22.92,5,2,1.02,85,0,0,2,2,6,4,10,37,50,62,0.07,2,4.38,97,8,22.45,20,3,0.74,76.05,6,1,5,3,1.6,0.6,15,0,4.36,1,0.8,0,15,2.8,0,6.4
"6",0.7,0.13,0.5,0.08,28,25.9,9,21.3,3,2.96,1,1.29,93,1,0.55,1.69,1,1.6,0.45,3,0.03,1,5.6,74,1,2.7,118,0.9,0.21,3,83,1,3.65,3.1,0.1,11,1,2,0.03,0.17,1.46,6,34,2,1,0.02,7.7,0.62,1,22,49,8,1,1,0,1,1.47,4.18,7.8,1,10,0.24,1.69,1,3,1,2.48,105,0.24,0.3,0.48,0.02,5,1,0.4,0,5,1.4,0.07,3.2
"7",0.89,0.01,0.01,2.07,12,0,36,2,3.91,1,1,23,2,16,13,2,4.06,0,0.27,1.42,0,3.18,2.22,1,43,1,11,0.05,0.02,1,503,176,2,2,4.83,2,5,4,7.87,2.66,0.2,3.33,2,53.97,18.54,0,1,0.24,3,21,485,8,1,8.04,3.56,0,2,1,0,0.78,0.23,0.22,10,1,1.01,1,8,2,1.33,0.38,4,0.09,0,27,0.51,0.12,0.99,0,0,0
"8",1,0.01,0.89,2.18,2,37,63,5,8,5,1.43,7,34,11.99,5.81,2,0,0,1,1,0,0.09,1,1,32,0,9,0.04,0.15,1,5,40,314,14,1,125,1,3,0.63,0.63,1.11,2,14,0,1,0.02,10.85,1.56,0.65,3,114,1,8,7,0.04,0.96,3.06,21.76,0,1.36,5,0.02,1.29,1,1.01,0.87,1,17,2,0.43,1,2,0.04,24,0.57,0,3,0,0.02,0
"9",1.25,0.02,0.45,0.62,4,4.29,4,1.09,113,3,0,2.44,2,2.98,6.97,1,2,0,2,3,3,48,2.22,28,29,1,138,0,0.36,532,1,2.68,23.46,1,11.56,20,7.27,0.04,0.08,12.95,1,10,14.62,129.27,0,0,2,2,0,5,54,5,8.8,152,8.52,0,1,15,0.08,6.28,0,0.35,8.08,4,1.01,0.33,12,11,8.01,0.91,14,0,1,6,1,0,1,0,0,0.09
"10",1.25,0.62,14.25,1,3,1.69,5,2,1,4,0,1,10,33.89,8,2,0,0,4,14,0.2,0.13,0,264,3,0,81,0,0,6,36.45,3,20.71,18,0.01,28,11,2.42,0.01,11,2.29,7,4,0,0,0,0,46,5,2,183,105,3,150.35,0,0,6.14,13,0,13,36,1,1,0.78,1.01,0.78,4,7,1,1.08,9,0,2.03,8,1,2.38,5.62,0,1,0
