"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",0,14,0,3,16,0.29,0,0,8,0.01,0,0.08,0,0,1.49,2,51,0,7,0.17,2.69,6,1,0,0.36,0.54,7,0.14,0.12,1,7,1.19,0.08,1.98,34,0,83,0,2.37,0,0,1,0,1,0.13,5,6,0,1,1,2,0,0.91,0,7,0,0,0,1,2,79,4,2.14,0.32,19,0,8.07,0,1,0,2.78,1,1.21,7,0.03,2.65,0,0,1.03,3.13
"2",2,19,0.83,11,7,5,0,1,36,10.7,12.87,11,0,1.03,4,41.32,3,0.1,22,1,7,266,2,0.06,1,1,1,2.19,0.21,1,7,13,0.14,1,8,0,410.7,0,1,0,0,0.36,0,4.85,1,11,12,0,2,17,3,0,29.43,0,3,0,0,0.01,1,3,28,5,32,0.55,10,0,3,0,2,0,1,6.26,0.86,1,1,19.82,1,0.52,3,22.02
"3",0,8,0,13,3,0.11,0,0,49.02,0.14,0,0.73,0,0.03,5,5,12,0.05,7,1,2,15,15,2,3,13,1,2,0.26,7,213,10.86,0.17,2,18.48,0,2,0.01,0.04,0,0,1,0,0,0.01,2,43,0,3,15,1,0,19,0,1,0,0.47,0,2,1,8,0.98,41,0.68,27.94,0,1,0,0.19,0,3.44,1,4,50,0.03,2,0,0,1.83,0.48
"4",3,0.07,0,1.11,78,28,39,357,644,10,142.98,77,2,0,235,0.75,0.13,21.41,0.67,23,60.77,690.71,0.2,33.64,0.09,2.12,2.19,3777,1,0.11,68.31,3.27,1,0.01,85,0.56,822,3,14,4,2,0,7,11,43.47,0.05,120,20,229,3.75,42,0,0.01,0.01,162.88,0,0,24,0.18,134,11.05,1.33,23.68,2.29,175,1,17,2,109,0,0,0.01,0,27.15,8.85,31,0,47,1.78,15
"5",2.17,2,0,3,3,3,0,1.49,1,2,1,1,0,0,2,1,3,0.88,5,11.91,3,41,1.46,0,1.53,9,6,15,0.09,1,5,3,0.06,3,82.67,0,50,0.07,1,0,0,0.37,0,3,0.04,4,5,0,4,2,2,0,4,0,9,0,0.32,0.01,0.54,1.72,108,1,4,0.25,19.32,0,14.43,0,34.44,0,1.74,2.37,1,13,1,1,0.73,3.6,2.84,4
"6",1,12,0.12,0.21,0.83,0.05,0,0,28.67,0.19,0.1,0.09,0,0,2,0.27,0.51,3.11,3,1,1.9,71,0.66,4.89,4,4.15,0.1,0.46,0.33,0.21,4,8,0.22,0,1,0,37,0,0.12,0,1,1,0,0.01,1,4,15,0,3,0.82,10,0,1,0,3,1,0,0,1,4,87,1,3,0.89,0.79,0,0.03,0,0.4,0,0.02,0.36,0.01,56,0,1.15,1.05,0,9,0.4
"7",0.01,7,0,2,4.35,0.26,0,0.05,131,0.01,0,0.21,0,0,3,37,17,0,18,0.51,1,15.91,2,0,2,6,20,1,0.09,1,12.33,8,0.06,1,1,0,1,0.01,2,0,0,1,0,0,0.39,1.76,2,0,7,8.69,2,0,10,0,7,0,0.37,0,6.22,1,71,3,4,0.25,12,0,2,0,0.07,0,0.36,7,4.03,4,0,0.56,0,0,6,1
"8",0,2,0,1,3,2.24,0,0,142,1.45,0,1,0,0,3.33,7,1,0,16,1,3,6,3,0,2,23,1.93,3,0.07,4,4,1,0.04,1.47,1,0,18.26,0.01,2.02,0,0,0.56,0,0.01,0.28,2,1,0,57,6.73,2,0,6,0,6,0,0.61,0,4.92,1.61,6,4,4,0.18,6,0,2,0,2,0,1,6,2,5,0.01,3,0,0,1.44,1
"9",3,13,1.57,20,14,4,0,0.01,8,0.8,3.47,9,0,1.96,14.35,4,33,0.24,23,8,1,26.08,4,0,5.52,33,1,2.13,0.39,5,53.55,19,0.26,3,7,0,25.27,0,3.53,0,0,8.48,0,0.02,0.87,18,3,0,43.45,3,2,0,19,0,5,0,2,0.01,5,4.59,1,4,39,1.04,13,0,6,0,0.54,0,5,5,27,35,3,3,3,0.12,1,19
"10",2,6.91,0,0.37,18.9,8,0,1,343.63,4,0.01,1,0,0,51,2,5.73,0,3.04,4,5,54,1,0.01,7,7.94,2,5,0.28,1.35,36.64,27,0.19,0.06,2,0,27,0.02,25,0,0,0.01,0,1,1,3.35,9,0,88,15,3,0,0.47,0,11,0,0,0.1,1.47,32,337,0.59,48.52,0.74,12,0,4,0,33,0,0,1,0.06,2,6.29,2,0,4,8,29.74
"11",1,3,0,3,13,0.64,0,0,229,0.45,0,1,0,0,10,1,2,0.1,1,1,70,9.75,1,0,2,12,13,0.18,0.12,12.88,62,10,0.08,1,14,0,3,0,1.53,0,0,1.02,0,0,0.79,2,1.96,0,37,1,2.1,0,2,0,20,0,0.33,0,2,0.82,29.07,5,39,0.31,37,0,5.53,0,0.12,0,1.77,2,2,23,1,4,0.05,0,3.4,3.96
"12",0,24,12,13,33.16,21.73,0,0,7,0.13,187,1.3,0,15,1.85,35,38,28,24,1,21,16.23,19,44,10,134,2,0.11,1,23,61,44,1,18,24,0,12.19,0,2.88,0,0,4,0,1,3,2,1,0,10,2,2.6,1,46,0,9.84,9,1,0,5,4.65,23.6,1,15.9,2.29,44,0,25,0,0.08,0,2,4,35,16,2,3,2,0,0.97,4.54
"13",0,7,1,6,37.35,0.16,0,0,60,0.02,141,1.01,0,1,7,57,13,21.11,123,3,9,11.79,16,33.18,4,45,26,0.01,2.26,6,27.16,47,1,4,20,0,3.07,0,2.44,0,0,3,0,0,1.58,9.72,17,0,35,15,3,0,35,0,14.61,1,2,0,3,4.8,4,4,59,2.29,10.02,0,1.47,0,0.01,0,7,1,15,55,5.31,3,17.34,0,1,7.17
