"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu804",2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,22,0,0,2,0,6,0,5,0,0,0,0,1,3,0,0,0,0,0,8,0,6,1
"Otu458",0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,31,0,0,5,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu704",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,7,0,0,1,0,0,0
"Otu222",29,25,30,0,0,6,0,0,3,43,0,0,4,0,0,57,5,2,1,0,0,6,5,40,3,0,3,24,0,0,0,0,11,0,0,0,0,0,2,0,17,2,1,22,0,0,0,0,0,0,0,1,2,14,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,9,0
"Otu792",0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu168",0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,93,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,27,0,11,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0
"Otu608",2,0,4,2,15,0,0,5,0,0,0,0,0,0,3,0,7,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu304",3,0,12,0,2,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,9,0,0,0,0,0,0,18,13,0,0,0,7,1,25,0,0,15,1,0,2,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu895",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu112",0,5,0,13,16,0,12,0,16,23,2,0,298,24,6,28,0,8,3,6,7,87,82,0,11,16,0,14,9,0,0,105,0,0,0,46,0,6,30,41,20,0,17,14,4,3,7,0,2,2,7,10,16,30,2,0,0,0,162,18,0,0,0,0,15,1,0,2,11,1,5,0
"Otu139",6,0,0,1,17,4,5,13,2,0,57,6,29,7,3,1,0,1,8,7,4,40,44,9,35,32,0,0,0,9,4,55,0,1,0,8,8,0,11,6,23,0,0,5,33,17,1,2,0,10,2,3,0,2,0,7,2,0,0,0,1,5,0,13,16,3,39,8,0,0,6,1
"Otu358",14,0,20,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,105,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu635",5,1,0,2,0,0,0,0,1,0,3,0,0,0,0,0,2,1,1,0,0,9,2,0,1,0,3,2,0,0,0,4,3,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Otu133",153,6,0,1,451,8,16,0,0,0,0,429,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,1,7,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Otu953",3,0,1,0,0,0,0,2,0,2,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,1,12,0,0,2,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu64",767,0,0,0,0,283,3,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,1590,698,532,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu805",0,1,0,0,1,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu330",3,0,0,0,0,0,0,0,0,0,79,0,4,0,0,0,12,1,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Otu268",20,0,0,29,0,5,5,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,225,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu71",0,0,0,7,0,0,0,0,0,0,0,0,78,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu92",0,0,0,0,0,0,0,0,24,1,7,0,0,0,5,0,0,2,0,4,0,88,6,0,10,0,0,0,0,3,0,0,58,0,0,0,16,0,0,0,11,1,0,33,0,13,1,0,0,0,0,0,0,0,0,26,0,36,0,0,0,6,0,0,0,9,221,9,0,9,0,0
"Otu45",34,7,5,1,33,4,0,17,27,111,0,41,86,0,0,0,0,24,151,6,0,0,0,6,0,4,0,0,0,0,0,87,14,42,34,0,9,0,24,0,0,0,0,119,26,20,0,25,24,0,1,19,0,0,0,0,0,0,63,0,0,3,0,6,0,0,0,0,0,0,47,0
"Otu629",0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,2,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu682",0,0,5,0,14,5,0,1,0,0,0,5,0,0,1,0,0,0,1,0,3,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,6,0,0,2,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu395",3,0,0,2,0,0,0,0,3,0,11,0,1,1,1,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,1,8,0,0,3,7,0,0,0,0,0,7,0,0,0,0,1,0,12,0,0,9,4,4,0,0,0,15,0,0,0,0
"Otu84",0,22,0,5,0,7,8,22,0,33,141,14,16,44,18,10,0,26,3,14,3,0,113,12,0,18,10,19,12,0,21,8,14,2,22,25,69,46,15,9,38,4,10,0,4,6,6,0,24,0,0,0,3,6,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0
"Otu338",0,1,0,1,0,0,0,0,1,27,0,0,1,0,0,3,0,1,2,0,1,14,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,18,1,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,2,0,0
"Otu950",0,2,0,0,8,4,3,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
