"","DA01128","DA00755","DA01157","DA01259","DA00886","DA00810","DA00491","DA00153","DA00885","DA00318","DA01211","DA01231","DA00953","DA01223","DA00236","DA01203","DA01441","DA01134","DA00346","DA01467","DA00984","DA01482","DA01255","DA01547","DA01571","DA01072","DA01556","DA00565","DA00812","DA00595","DA00997","DA00165","DA01381","DA01073","DA00382","DA01380","DA00621","DA00884","DA00949","DA01588","DA01076","DA00369","DA00581","DA00721","DA01555","DA00658","DA00908","DA01324","DA00383","DA00673","DA01370","DA00703","DA01044","DA01242","DA01501","DA00678","DA01408","DA00632","DA00955","DA00299","DA00498","DA00815","DA01161","DA00603","DA00927","DA01071","DA01291","DA01495","DA00155","DA00307","DA01024","DA01026","DA01109","DA00530","DA01193","DA00331","DA00687","DA00431","DA00896","DA00926"
"Otu00055",9,244,0,0,1,0,0,0,2,0,20,0,92,92,0,18,13,0,0,0,0,0,0,0,0,145,0,169,2,25,0,0,0,3,30,0,0,2,10,0,0,0,65,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Otu00345",0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00128",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00110",619,0,7,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,39,5,64,0,195,4,0,0,0,0,0,91,0,0,0,2,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,30,0,1,0,0,0,0,0,0,0,2,0,1,6,12,0,0,0,0,16,0,25,0,0,0,0,15,0,0,0
"Otu00244",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,12,0
"Otu00362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Otu00387",0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00559",0,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00623",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00401",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"Otu00190",0,1,0,1,0,0,5,0,0,12,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,2,9,3,1,0,0,1,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,5,0,0,0,1,0,0,0,1
"Otu00031",0,0,0,304,0,0,0,33,0,362,0,0,0,0,0,0,0,55,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,99,0,0,0,0,0,0,22,815,0,0,0,0,0,0,0,279,0,0,0,0,0,1,0,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00087",17,0,0,0,0,0,0,1,0,146,9,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,8,1,0
"Otu00203",0,20,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00495",0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00058",5,2,11,1,4,0,1,0,0,0,0,0,0,10,0,0,0,76,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,179,1,8,0,0,0,0,10,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu00096",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
