"","DA01128","DA00755","DA01157","DA01259","DA00886","DA00810","DA00491","DA00153","DA00885","DA00318","DA01211","DA01231","DA00953","DA01223","DA00236","DA01203","DA01441","DA01134","DA00346","DA01467","DA00984","DA01482","DA01255","DA01547","DA01571","DA01072","DA01556","DA00565","DA00812","DA00595","DA00997","DA00165","DA01381","DA01073","DA00382","DA01380","DA00621","DA00884","DA00949","DA01588","DA01076","DA00369","DA00581","DA00721","DA01555","DA00658","DA00908","DA01324","DA00383","DA00673","DA01370","DA00703","DA01044","DA01242","DA01501","DA00678","DA01408","DA00632","DA00955","DA00299","DA00498","DA00815","DA01161","DA00603","DA00927","DA01071","DA01291","DA01495","DA00155","DA00307","DA01024","DA01026","DA01109","DA00530","DA01193","DA00331","DA00687","DA00431","DA00896","DA00926"
"Otu00055",9,244,0,0.01,1,0.45,0,0.72,2,0.03,20,497.86,92,92,0,18,13,0.72,243.6,0.04,0,0.01,1.19,0.12,829.77,145,0.02,169,2,25,0,0.08,0,3,30,0.17,0,2,10,0,0,0.03,65,0,0.3,13,0.09,0.05,0.01,0,0,0,0,0.02,0,0,0,0,0,131,0,0.51,10,0,0.01,12.94,0,0.76,0.01,0,0,0,1,37.3,0,0.76,0,0,0.01,0
"Otu00345",0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0
"Otu00128",0,0.04,0.07,0,0.52,13,0,0,0.01,0,0,0,0.01,0,0,0,0,0,144,0,0,0,0,0,0,0.55,0,0,5,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,7.45,0,0,0,0,0,0
"Otu00110",619,0,7,0.02,16,0.03,0,0,0,0.01,0.03,1.07,0.15,0.01,16,12.76,0,0.14,0,39,5,64,0.01,195,4,0,0,0.02,0,0,91,0,0,0.01,2,0.11,0,0.01,0,26.27,0.01,0.02,1,8,0,1,0,0.55,0,0,30,0,1,0,0.02,1.14,2.78,0.03,0.14,0.22,2,0,1,6,12,12.94,1.61,0,0.12,16,0,25,0,7.45,0.05,0,15,0,0,0
"Otu00244",0.06,0,0,0,0.01,12,0.02,0,0,0,0,0,0,0,0,10,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0.2,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0.07,2,0,0,0,0,0,12.94,0,0,0,0,2,0,0,7.45,0,15,0,0,12,12.14
"Otu00362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Otu00387",0,0.01,0,0,0,0,4,0,0.03,0.02,0,0,0,1,0.01,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0.09,0.01,0.02,0,0,0,0.26,3,0,0,0,0,0,0,0,4,0.05,0.11,0,0,0,0,0,0,0,0,0,0,0,0.04,0,8.28,0,0,0,0,0.02,0,0,0.67,0,0,0,0,0.04,0
"Otu00559",0.13,4,1,0,0,0,0.03,5,0.01,0.07,0,0,0.06,0,0,0,0,2,0,0,0,0.01,0.04,6,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.07,0,0,0,0,0,0.04,0,0,3.79,0.15,0,0,0,0,0.08,0,0.31,0,0,0.02,0,0,0
"Otu00623",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00401",0,0,0,29,0,0,0.45,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,7.45,0,0,16,0,0,0
