"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",126,4,18,71,35,27,163,40,8,0,4,3,6,18,367,0,220,2,0,33,6,6,78,76,87,10,6,270,0,1,4,3,0,21,14,0,40,3,1,3,0,0,0,0,4,167,130,112,38,0,24,2,3,7,5,1,0,1,23,13,83,10,0,4,2,65,80,105,97,28,6,14,9,114,26,1,6,7,93,0
"2",0,1,0,5,28,1,30,29,0,0,1,0,2,32,0,0,150,0,0,9,0,1,30,8,13,2,21,0,0,1,2,0,2,6,0,0,4,0,2,0,0,0,0,0,9,28,145,234,30,0,9,0,0,4,2,0,1,0,7,0,1,33,1,2,54,166,35,14,2,0,1,1,1,0,29,1,0,0,16,0
"3",0,3,0,0,4,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,1,0,0,0,0,0,0,0,0,17,0
"4",1,0,1,2,15,4,23,2,0,0,0,0,0,15,28,0,62,0,0,0,0,0,0,15,16,15,0,23,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,153,1,0,0,0,0,4,2,0,0,0,1,0,1,11,0,2,0,21,1,8,41,0,1,5,2,11,0,0,8,0,0,0
"5",1,1,0,11,0,0,3,8,1,0,3,0,0,3,0,0,84,3,0,1,1,7,84,10,1,0,0,70,0,0,0,0,1,5,0,0,4,0,2,0,0,0,0,0,0,30,0,27,0,0,0,1,11,0,1,2,0,0,0,12,3,20,0,1,0,11,10,8,3,17,2,1,0,0,1,0,2,0,0,0
"6",2,2,4,10,23,5,12,1,0,0,0,1,1,17,0,0,12,4,0,4,1,0,0,19,9,5,19,35,0,8,3,0,0,3,2,0,0,1,0,0,0,0,1,0,9,25,108,27,7,0,28,1,3,7,0,0,0,4,1,0,43,108,0,2,6,9,25,2,6,53,5,1,49,1,13,4,8,1,41,0
"7",0,0,0,23,0,0,0,5,0,0,0,0,0,0,7,0,76,1,0,0,0,0,1,0,2,0,0,2,0,0,2,0,0,0,5,0,12,0,2,1,1,0,1,0,4,10,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,12,4,0,0,0,0,1,0
"8",0,0,3,0,0,4,10,0,0,0,0,1,1,2,41,0,3,0,0,0,0,1,4,4,0,0,12,3,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,0,2,2,0,0,0,0,2,28,51,8,0,1,0,0,15,0,6,38,2,0,0,0,5,0,3,0,54,0
"9",8,1,0,0,0,0,32,14,0,0,0,0,0,0,2,0,32,1,0,0,0,0,13,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,35,0,0,15,32,0,3,0,10,2,17,0,2,0,0,0,4,88,0
"10",11,0,0,2,3,1,0,0,0,0,1,0,0,0,105,0,9,0,0,5,1,1,0,7,0,4,0,5,0,0,4,0,4,11,0,0,2,0,3,0,0,0,2,0,0,7,76,5,6,0,4,0,0,0,1,0,0,0,0,58,2,34,0,0,40,1,0,1,0,0,0,0,0,19,10,0,0,2,92,0
