"","DA01128","DA00755","DA01157","DA01259","DA00886","DA00810","DA00491","DA00153","DA00885","DA00318","DA01211","DA01231","DA00953","DA01223","DA00236","DA01203","DA01441","DA01134","DA00346","DA01467","DA00984","DA01482","DA01255","DA01547","DA01571","DA01072","DA01556","DA00565","DA00812","DA00595","DA00997","DA00165","DA01381","DA01073","DA00382","DA01380","DA00621","DA00884","DA00949","DA01588","DA01076","DA00369","DA00581","DA00721","DA01555","DA00658","DA00908","DA01324","DA00383","DA00673","DA01370","DA00703","DA01044","DA01242","DA01501","DA00678","DA01408","DA00632","DA00955","DA00299","DA00498","DA00815","DA01161","DA00603","DA00927","DA01071","DA01291","DA01495","DA00155","DA00307","DA01024","DA01026","DA01109","DA00530","DA01193","DA00331","DA00687","DA00431","DA00896","DA00926"
"Otu00358",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00014",2434,95,94,302,120,404.42,498,329,397,431.81,37.7,160,1.85,97,134,52,21,488,40,162,110,356,345,748,306,2.7,96,0.26,0,6,20,208,151,69,415,8,322,0.07,2,49.68,0.18,0,53,559,701,4,2,0,590,0,461,433,166,0.15,12.41,223,310,83,23.12,155,79,436,1836,139,7.02,0,30,0.01,6,149,12,0,0.47,525,1,0.02,132,0,0,12
"Otu00650",0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.2,0.01,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
"Otu00441",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0.04,0,0,0,0.02,0.02,0,0,0,0,0,0,0.12,0,0.4,0,0,0,0,0,0,0,7,0.05,2,0.03,0,0,2,0,0,0,0,0,0,0,0,0,0.06,0,0,0,1,0,0,0,0,0,0
"Otu00355",0.13,1,0,0.01,0,0,0.04,13,3,0,1,0.03,0.01,0.06,2,0.07,0,0,0,4,1,0.18,0,2.54,0,0,0.01,0.08,0,0.02,0,0,0,0.07,0,0.02,0,0,0,0.01,0,0,0,2,2,0,0,0,0,0,0.07,0,2,15,0,1,3,0,0,0,0,1,0.06,0,0,0,0.22,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.03
"Otu00463",0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00532",0,0,0,1,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,2,0,0,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00223",7,0.06,0,0,0,0,1,0,0,0,6,0,0,0,0,0.16,0,0,0,1,0,1,0.01,6,1,0,0,0,0,0,0.02,0,0,0,0,0.04,0,0,0,1,0.01,0,0,0,7,0,45,0,1.14,0,0,0,0,0,6,0,0,0,0,0,0.01,0,0,0.27,0,0,0,0,0,0.01,0,0,8,0.01,0.02,0,0,0,0,0.01
"Otu00087",11.42,0,15,0,0,0.49,0,1,0,146,9,280,0.32,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.12,0,0.15,0.03,0,0.93,0.05,24,0,2,0,0.01,0.08,0.06,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.08,0,0,0,0,0.01,0,0,0.1,0,0.02,0,0,0.41,0,0,0,18,0.01,0,0,8,1,0
"Otu00158",1,0.02,0.01,0.01,0,0,0.02,0,0.02,0,0.08,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0.11,0,0,0,0.02,0,0,0,0,0,0,0,0,0.17,0,0,0,0.07,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,3,0,0,0,0,0,0
"Otu00240",25,1,2,1,0.01,0.24,0.1,0.11,7.92,0.09,0.1,0.01,4,0,0,0.01,0,2,0.22,0,6,69,6,0,0,0,1.37,0.04,3,0,2,0,0,0,0.58,0,0.01,0,0,0,0,0,0.06,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0
"Otu00157",0.34,0,1,0,0,1,0.02,0.02,0.02,1.93,1,6,10,8,2,0,0,0,1,0,0,0.42,3,0,0,0,25,0.12,0.08,0.04,0.01,0,0.01,0.28,0.11,0.23,1,2,0,0,0.24,0.01,0.05,3,0,0,0,20,0,0.22,0.08,0,0,5.11,0,0.05,0,0,0.28,0,0,0,0,0.44,0.25,0.02,0,0,0.02,0,0.01,4.14,0.05,0.01,0,0,0,0.01,0,0
