"","DA01128","DA00755","DA01157","DA01259","DA00886","DA00810","DA00491","DA00153","DA00885","DA00318","DA01211","DA01231","DA00953","DA01223","DA00236","DA01203","DA01441","DA01134","DA00346","DA01467","DA00984","DA01482","DA01255","DA01547","DA01571","DA01072","DA01556","DA00565","DA00812","DA00595","DA00997","DA00165","DA01381","DA01073","DA00382","DA01380","DA00621","DA00884","DA00949","DA01588","DA01076","DA00369","DA00581","DA00721","DA01555","DA00658","DA00908","DA01324","DA00383","DA00673","DA01370","DA00703","DA01044","DA01242","DA01501","DA00678","DA01408","DA00632","DA00955","DA00299","DA00498","DA00815","DA01161","DA00603","DA00927","DA01071","DA01291","DA01495","DA00155","DA00307","DA01024","DA01026","DA01109","DA00530","DA01193","DA00331","DA00687","DA00431","DA00896","DA00926"
"Otu00573",2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00207",0,0,1,8,0,0,2,0,4,17,9,2,0,0,0,0,1,0,0,3,1,3,0,2,1,0,5,0,0,0,0,1,1,0,0,0,0,0,16,0,2,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,4,0,0,0,2,0,0,1,0,8,0,1,0,0,0,0,0,0,1,0,0,1,4,1
"Otu00195",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00452",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00027",91,216,0,15,0,0,3,1,0,0,2,0,0,0,23,3,0,0,0,0,0,0,304,0,4,0,0,0,0,0,0,0,73,0,0,34,0,49,2,0,0,3,0,0,0,18,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"Otu00034",247,200,0,0,32,30,0,121,84,29,154,66,0,5,29,2,5,221,71,21,0,221,45,0,42,74,68,0,0,0,131,65,345,127,5,0,170,0,0,12,0,1,10,57,201,0,0,18,30,0,278,14,404,0,633,34,304,69,423,4,0,16,108,409,2,3,253,3,2,0,47,1,0,46,25,9,217,3,186,6
"Otu00396",0,0,0,6,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Otu00077",6,42,44,3,3,0,2,2,1,80,0,1,0,0,0,1,4,1,10,45,0,3,0,0,0,20,10,0,0,43,7,186,10,0,0,1,10,6,0,39,77,0,7,0,0,0,17,2,1,0,243,397,0,75,0,12,10,0,0,10,17,0,0,0,0,7,0,0,0,0,56,34,0,2,0,0,0,0,0,0
"Otu00085",73,3,0,11,0,0,5,0,82,0,90,1,0,0,1,0,4,0,114,0,31,0,0,0,0,3,0,0,48,3,2,0,7,0,0,0,0,0,0,22,0,0,9,0,0,0,0,0,10,16,110,0,0,5,0,76,0,10,0,0,1,14,432,0,1,0,6,1,0,43,0,0,0,2,0,0,0,0,0,0
