"","DA01128","DA00755","DA01157","DA01259","DA00886","DA00810","DA00491","DA00153","DA00885","DA00318","DA01211","DA01231","DA00953","DA01223","DA00236","DA01203","DA01441","DA01134","DA00346","DA01467","DA00984","DA01482","DA01255","DA01547","DA01571","DA01072","DA01556","DA00565","DA00812","DA00595","DA00997","DA00165","DA01381","DA01073","DA00382","DA01380","DA00621","DA00884","DA00949","DA01588","DA01076","DA00369","DA00581","DA00721","DA01555","DA00658","DA00908","DA01324","DA00383","DA00673","DA01370","DA00703","DA01044","DA01242","DA01501","DA00678","DA01408","DA00632","DA00955","DA00299","DA00498","DA00815","DA01161","DA00603","DA00927","DA01071","DA01291","DA01495","DA00155","DA00307","DA01024","DA01026","DA01109","DA00530","DA01193","DA00331","DA00687","DA00431","DA00896","DA00926"
"Otu00573",2,0.03,0,0.01,2,1,0,0.01,0.19,0,0.1,0.05,0.16,0,1,0.01,0.01,0,0,0,0,0,1,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0.01,0,0,0,1,0,0.09,0,0,0.01,0,0,0,0.11,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00207",0.58,0.04,1,8,0.24,3.51,2,0.11,4,17,9,2,0,0,0,0.07,1,0,0.97,3,1,3,0,2,1,0.01,5,0,0.01,0.5,1.03,1,1,0,0,5.61,0.07,0.01,16,0.02,2,0.01,0.02,0,0.03,0.05,0.71,1,0.02,0.01,0,1.21,8,0.84,1,0.29,4,0,22.98,0,2,0.01,0.07,1,0.08,8,0.01,1,0.13,0,0.73,0.98,0.15,1.24,1,0,1.08,1,4,1
"Otu00195",0,0,0,0,0,0,0,0,0,0,0,0,0.02,19,0,0,0,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0,11,0,0,0,0,0,0.01,0,0.22,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00452",4,0.04,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00027",91,216,0.03,15,0.28,0,3,1,0.84,0.74,2,0.02,0.06,0.01,23,3,0,0,0,0,0.05,0,304,0,4,126.61,0,0,0,0.24,0.02,0,73,0.02,0,34,0,49,2,0,0.11,3,0,0.64,0.04,18,0,0.9,0,0.05,8,0,0,0,0.02,0.01,0,0.02,0.14,0,0,0,0,0.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"Otu00034",247,200,15.06,596.81,32,30,0.16,121,84,29,154,66,27.03,5,29,2,5,221,71,21,10.41,221,45,153.72,42,74,68,14.46,245.83,0.02,131,65,345,127,5,0.4,170,217.06,9.77,12,2.38,1,10,57,201,288.8,5.31,18,30,136.07,278,14,404,0.04,633,34,304,69,423,4,1100.19,16,108,409,2,3,253,3,2,57.23,47,1,76.96,46,25,9,217,3,186,6
"Otu00396",0.05,0,0.01,6,13,1,2,0,0.01,0,2.13,0.06,0.41,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,3,0,0,0,0,0,0,0,0.97,0,0,0,0,2,0.04,0,0,0,0.01,0,0,0,0.12,0,0,0.01,3,0.04,0,2,0,0.02,1,0.05,0,0,0,0,0,0,0,0,0,0,0
"Otu00307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01,0,0,0,0,0
"Otu00077",6,42,44,3,3,0.07,2,2,1,80,19.43,1,0.2,0,2.75,1,4,1,10,45,349.75,3,0.63,0.03,0,20,10,0,48.4,43,7,186,10,0.09,0.09,1,10,6,0.25,39,77,0,7,0.39,0.04,0,17,2,1,1.59,243,397,0.08,75,23.11,12,10,6.29,0,10,17,0.91,1.03,271.31,0.15,7,2.94,0.02,0,0.1,56,34,26.79,2,0.14,0.03,0.67,0.62,0,0.25
"Otu00085",73,3,105.32,11,3.76,23.92,5,4.62,82,13.37,90,1,0,0,1,1.16,4,0.01,114,0.02,31,1.44,0,0,1.92,3,7.9,0,48,3,2,0.02,7,0,0.01,23.96,0,0.06,0.95,22,0,0,9,0,0,0,0,0,10,16,110,0.03,0,5,0.03,76,0,10,0,0.31,1,14,432,3.07,1,0,6,1,0.05,43,0,0,0.02,2,0,0,0,0,0,0
