"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",8,13,1,17,0,0,3,0,0,0,1,0,0,10,3,0,0,7,0,2,5,0,0,44,3,5,0,0,16,0,2,18,0,0,0,1,0,0,0,1,4,3,2,0,1,1,2,2,0,0,0,4,0,0,3,7,2,1,0,9,0,0,0,6,1,3,15,6,1,5,0,0,0,0,0,7,0,2,0,51
"2",16,5,13,25,0,0,27,2,3,0,5,143,66,7,0,59,2,12,232,25,29,1,0,26,8,139,3,11,8,2,23,68,4,2,0,5,2,0,1,0,11,30,8,44,11,0,5,7,0,0,4,2,79,5,3,5,21,21,15,12,6,0,0,106,40,3,93,5,37,19,0,2,3,11,0,9,8,3,3,17
"3",5,10,0,3,1,0,10,0,0,0,1,20,48,4,3,3,2,3,0,0,14,1,0,4,1,80,18,5,13,0,40,0,1,0,0,28,1,0,0,0,22,0,2,6,6,0,1,10,0,0,5,4,4,4,1,5,0,10,0,6,2,0,0,25,3,0,7,4,45,0,0,2,2,0,0,0,0,0,0,24
"4",9,6,0,18,0,0,4,3,0,0,1,5,1,0,2,2,0,0,0,3,10,0,0,0,1,0,1,1,0,1,32,4,2,0,0,31,1,0,0,1,0,4,4,15,1,0,0,0,0,0,3,0,0,2,0,21,0,3,2,7,1,0,2,22,2,0,4,2,34,29,0,0,1,21,2,2,0,3,0,116
"5",30,6,6,58,0,0,10,1,2,2,8,10,11,20,2,17,2,3,131,3,24,0,0,53,15,142,2,0,11,0,110,44,3,1,5,14,0,0,5,0,66,0,38,3,12,0,14,10,1,0,4,0,50,13,10,18,1,23,27,32,0,0,0,72,2,11,228,8,27,35,0,2,11,19,0,0,2,5,0,1
"6",125,71,1,209,0,1,70,3,5,4,0,57,6,85,86,32,0,35,27,3,189,1,0,45,17,9,0,1,0,0,334,0,38,1,2,3,0,0,1,5,81,0,73,0,45,0,23,0,2,0,0,1,21,29,23,65,6,135,19,164,8,0,0,4,8,18,0,128,44,39,0,3,35,15,0,94,1,0,1,45
"7",12,19,4,31,0,0,28,0,2,0,7,10,0,5,5,44,2,10,127,7,27,0,0,36,3,33,2,1,10,0,34,88,3,0,3,122,2,0,2,1,31,2,11,115,1,1,6,0,0,0,3,0,7,5,4,11,0,4,1,3,4,0,1,37,1,6,31,5,54,5,0,0,3,4,0,45,7,0,0,58
"8",5,13,2,2,1,0,9,1,0,0,2,1,18,2,1,2,3,6,103,7,3,0,0,29,0,24,4,22,3,0,5,109,0,1,3,11,0,0,1,1,43,0,8,13,3,1,0,16,1,0,1,0,3,0,4,1,0,3,1,4,0,0,0,0,1,5,2,4,14,18,0,0,1,39,0,4,1,1,7,3
"9",5,1,0,33,0,0,11,0,0,1,0,8,0,1,2,7,0,1,59,0,1,1,0,30,0,42,4,3,0,0,0,30,0,0,2,3,3,0,3,1,44,0,4,22,3,0,2,0,1,0,0,1,1,0,3,3,0,4,0,21,0,0,0,47,4,3,11,5,5,10,0,0,2,0,0,27,0,10,0,9
"10",0,0,0,2,1,0,6,0,0,0,3,0,3,1,0,7,1,5,37,3,0,0,0,56,0,5,4,14,20,0,0,27,0,0,0,2,1,0,0,0,0,1,0,7,0,0,0,0,0,0,2,0,1,0,0,12,0,0,1,0,0,0,0,9,0,0,9,13,46,0,0,0,0,135,0,4,0,0,0,8
"11",26,10,0,2,0,1,41,1,0,0,0,2,1,0,11,47,0,4,164,2,5,1,0,42,0,40,12,0,3,0,13,9,10,0,0,83,0,0,0,0,18,31,5,18,7,2,2,2,0,0,0,0,21,3,2,21,2,14,0,2,3,1,0,105,2,0,4,13,2,0,0,3,5,261,0,2,8,0,1,11
"12",1,1,1,0,0,0,11,0,0,0,0,0,12,8,1,6,7,1,177,4,8,0,0,12,0,59,1,8,12,0,0,5,1,0,0,33,1,0,4,0,1,45,2,150,2,0,2,2,0,2,0,1,1,0,1,0,0,0,14,7,7,0,0,31,0,0,24,12,20,26,0,0,0,26,0,28,31,2,2,54
"13",17,3,2,0,0,0,4,0,0,0,0,3,56,4,6,13,0,6,25,10,8,0,0,205,0,3,1,1,0,0,1,8,0,0,4,30,5,0,1,0,11,0,3,3,4,0,3,0,1,0,0,0,102,2,1,3,0,10,20,8,2,0,0,47,0,0,22,10,1,6,0,0,5,122,0,11,0,10,0,28
"14",0,0,6,10,1,0,0,1,0,0,0,0,34,0,4,95,1,1,33,5,6,0,0,35,0,7,0,6,2,0,0,53,2,0,6,1,1,0,4,0,3,5,0,20,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,4,27,2,6,0,0,0,1,30,0,10,17,2,0,6
"15",33,3,25,27,1,0,41,1,0,0,0,0,15,5,13,70,6,16,376,6,109,0,2,311,5,86,6,3,16,0,51,13,5,0,3,46,1,0,0,1,11,42,8,60,6,2,136,16,0,0,0,2,36,7,10,6,0,9,48,340,11,0,0,2,5,2,4,6,12,4,0,2,66,7,0,24,6,9,0,26
