"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",22,4,0.14,0.51,52,6,8,13,3,33,1,0.08,1,26,4.71,3,3,1.16,9,2,0,8.91,0.09,1,2,192,0.87,150,5,0,4,0.46,1,1.46,16.36,10,0,3,100.48,0,7.83,5.18,0,0,0.45,15.63,0.51,9,0.03,1.54,5,0,0,0,0,0.48,15.47,91,5.93,11.08,0.22,2.05,0.5,2,4.25,0,0,0.43,0.01,6,123,9,2,0,5.26,1.97,2.41,80,4.22,3
"2",2.93,124,0.25,0.87,3,0.76,1.74,9,0.52,5,3.67,0.08,10,1,13,19,0.16,27,4,0.02,0,0,0.07,1,6,29,1,2.52,1,0,0.1,2,0,5,5,10,0,0.33,1.69,0.56,13.43,0.96,0,6.34,0.06,1,0.87,2.71,0,5,0.05,2.61,0,0,0,0.12,3,53,32.51,5,0.37,0.27,0.01,2.26,1.42,14,0,0.75,6.22,1.28,5,0.8,2.26,0,6,1,0.42,5.31,3,42
"3",1,12,0.29,1,9.02,8,5.4,16.2,2.64,1,55,1.43,27,19.44,184,0.23,1,2.49,8,4.73,1,17.57,0.02,0.57,8,149,1.71,8,4,1.06,3,0.15,1,1,70.86,30.23,10.47,1.02,28,1.77,2,17.23,10.86,7.29,6,22,1,1.79,7.29,9.36,1,3,0,0,0,4.4,8,5,8.33,11,0.43,4,0.71,43.86,1.16,3,0,0.86,0,1.22,36,1.29,1,2.29,2,3.37,2,19.53,7.36,17
"4",8,3.89,0.33,1.17,21.6,89,7.15,3.49,373,12,3,1.01,6.53,3.21,62,12.83,8,28,15,1.33,2.17,3,0.24,12.33,6,2,1,5.57,10,1.39,43.6,31,15,28,15,2.36,79,67.49,21,0.56,1,13,1.02,8.5,26,122.57,1.17,2.2,8.5,25.87,1,3.5,0,6.17,0,24,285,7,2,7,0.5,13,5,5.49,2,22.5,1,1,8.33,4.7,8.74,3,19,1,10.32,21.01,0.73,2.66,2,8
"5",2,0.18,0.13,0.47,2,5,2.98,0.4,76,3.21,2.12,0.08,6,3,2,0.09,0.68,24.75,1,1,0,1,0.12,0,5,14,0.8,0.09,9,0,0.82,0.17,3,3,24,17.77,0,19,119.21,0,0.01,1,0.01,0,1.97,58,0.47,1.12,1.2,2.76,0.14,0,0,1,0,0.06,5,6.12,1.39,0.74,0.2,6.05,9,1,2.44,0.12,0,0.4,1,2.58,61.61,27,6,0,1,30.82,21,2,0.46,131
"6",0.87,4,0.16,0.55,38,2,4,5.7,41,178,3.94,0.08,3,57,31.63,1.05,0.66,11,4.16,0.61,0.01,9.64,0.26,0.02,11,5,0.94,159.59,3,1,3,14.58,0,58.25,20.49,8,0,39,7,0,8.46,3,0,0,0.07,6.54,0.55,47,0.07,6.41,3,0,0,0,0,4.53,41,89,28,3,0.24,13,0.33,5,4.57,0.31,0,0.47,1,8,46,3,1,0,5,1,1,7,0.36,27
"7",2,3.19,0.24,0.85,2,11,10,7,2,9.67,102,0.08,14,2,26.07,1,1.38,8.13,12.59,0.43,0,15,0.02,0.05,11,7,1.22,2.91,16,0,3,5,0.35,11.55,11,34,0,18.69,4,0,1.11,8.37,0.01,0,4.02,8.31,0.85,2.47,0.01,0.25,1,0,0,1,0,3.29,1,8,1,4.3,0.37,13,12,2,1,0.01,0.28,0.73,5.02,11,206,7,31,0,1,61,28,69,2.79,3
"8",1.26,4,0.29,1,34,1.56,3.47,0.62,0.27,4.52,2,1.43,13,1,78,0.47,1.17,243,16,1,1.86,0,0.99,1,2.98,19,1.71,4.04,2,1.06,2.14,0.69,12.86,9.26,12,18,10,13.31,7,0,1,1,0.76,7.29,0,1,1,0.34,7.29,5.34,2,3,0,0.01,0,3,23,79,11,2,0.43,2,0.02,9,34,19.29,1,0.86,0,6.64,22.64,24,1.06,2.29,0.11,20,11.73,5,11.54,74
"9",21,119.64,0.24,0.84,6.2,27.64,16.42,0.98,9,57,8,0.08,10,17,1,20,1.6,138,4.94,2.38,0.13,4,2.37,0.04,18,33,1.44,14.53,1,0,3.3,2,0,11,23,5.97,0,10.18,191,1.05,5.91,2,0,1,0.42,16,0.84,90,1.4,3,2,0.71,0,1,0,9.39,299.27,9.11,1,15,0.36,7,0.15,12.03,16,1,1,0.72,6,2,35,6,1,0,1,10.34,2,7,3,9
"10",7,1.15,0.94,3.3,3,1.27,2.16,0.12,6.08,0.76,11,4.71,1,35,8,0.18,1,48.19,4,4.58,0.01,0.04,0.12,0.1,39.81,40,5.65,4.03,3,1.06,1,1.18,0.15,53,12,26,10.47,1,93,0,0.08,8,0.07,3.15,1.19,12.69,1,0.05,24.01,10.78,12.21,3.1,0,1,0,1,39,26,32.67,1,1,11.86,0.02,5,2,6,2,1,2,3,171,2,4,7.53,0.01,7.32,1032,89.63,2,69
