"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",1.13,21,3.76,12,15,0.29,3,4,0,25.21,4.1,3,21,2,0.06,1,245,1,33,0.74,8,0.73,5,1,4.83,48.66,6.38,1,4,12,6,24,0.07,1,6.64,5.3,1,1,0.05,1,3.8,13,4,75.92,0.81,12,0,67,7.5,4,0,1,1.82,2.77,6,18.32,203.25,1,6,3.93,11.16,1.57,13.5,2,9.75,0.22,1,2,0.13,0.06,18,0,293.25,0.63,0.03,1.68,1,0.04,0.04,17
"2",25,1,4.95,4,2.07,1,1,0.75,0,1,1.81,7,1.25,95,5.48,1.37,38,14,0,7,33.23,10.97,10,0.59,16,4,38,0.4,1,19,1.59,51,1,1.36,57,1.98,0.35,3.49,18.83,21.41,1,21.94,0.07,5,90,1,0,10,0,22,0,0,9.09,1,200.58,107,2.02,1,1.41,163.09,2,15,1.46,6.35,0,1,1,4,59.23,2,8.77,0,21,0.02,1.76,16,17,3,0,11
"3",3,0.35,4.1,1,0.24,0.91,1.46,0.01,0.49,5,21,15,0.98,2,2.99,1.18,3,6,0,2.47,1,9,82,0.3,19.46,4.81,31,0.2,0.76,5.19,0.8,54,0,0,39,0,0.01,0,0.01,6,0.96,7,1.34,38,45.4,5,0,10,1,9,0,0.01,0.06,0.31,14,52,0,40,0.8,101,2.39,1.15,1.46,2.24,0,4,8.97,1.28,39.05,0,0.5,1.44,0,0,1,6,12,5.12,6,3
"4",0.96,1.5,2,2,1,0.07,2,0.02,0.04,4,6.32,49,0.01,1,1,355,2,4,0,9,15,3,632,0.6,1,2.75,454,0.4,0.65,10.32,1.59,1,2,0.13,7,0,0.06,2,18.85,0,5.1,7,18,3,5,89,0,4,1.31,11,0.01,0,39.89,0.06,3,60,1,0.28,1.41,58.79,7.1,1,1.46,0.27,0,4,6.44,2,1,2,12.5,2,1.01,11.26,2.84,0.92,4.52,32,2,38.34
"5",0.6,2.63,9,105,9,0.1,0.59,0.08,2.4,2,0.34,2.37,4.48,17,6.58,1.04,2.75,0.45,7.03,0.7,15,7.55,11.73,0.48,6,1,41,0.32,1,412,1.28,3,2,43,13,0.58,1.86,0.03,0.24,0.84,2,3.72,0.38,1,1,0.38,0,7.29,1.6,1,0,0.01,7,0.48,14,21,4.07,1,1,8.68,8,27,2.88,1,2.08,0.66,1.3,3,4.68,0,0.57,0,8.19,0.21,1,3,2,13,0.02,8
"6",4.17,5,1.66,119,5.37,2.09,2,0.99,0,1,3,17,0,33.1,0.67,2,4,1,0,5,3.39,3,5.21,0.1,4.33,78,21,0.07,2,8,0.28,93,0.38,1.9,10,0,0.04,1,0.97,3.73,2,3,0.63,2,3.21,8,0,0.58,0,19.67,0,0.06,4,1,3.34,4,0.05,7,0.28,1,12,0.41,0.62,2.74,0,3,3,9,4,0,0.2,0,0,0.04,11.05,1.63,23,0.21,0.11,8
"7",1,1,7.88,20,17.32,1,0.33,0.28,1.71,12,10.94,2,0.98,4,8,6.65,28,2.81,0,0.75,23,21,123,0.34,11,1.09,26,0.23,2,126,0.91,186,0,7.83,2,0,0.08,1,0.69,12.34,4,28.2,2.18,5,2.12,9.76,0,16.7,1,1,0,1,0.05,2,8,10,0.05,46.62,0.91,5,39.31,32,1.46,2,0,5,32,1.68,25,1,3.09,1,0,2.12,0.02,9,76.11,11.52,7.09,4.32
"8",1,10,1,20,18,1,2,8.6,0,9,116.99,5,1,11,0.11,12,26,1.74,0,3.37,10.7,6.09,42.14,0.24,10.9,4,3,0.16,1,1,0.63,17.82,4.36,1,10,0,1.21,8,0.71,0.76,1.93,1,1.3,8.7,0.37,0.32,0,19,0,10.53,0,1.71,1,1,5,19,21.47,1,0.63,7,25,6.89,1.43,14.43,0,0.17,1,18,3,0.23,1,0,20.74,1,1,2.18,11.62,0.09,2,1
"9",1,3.29,7,90,1.25,1,1,1,0,2,34,4,0.12,38.12,1,27.43,1,0.73,1.99,10.88,2,1.73,121,0.5,2.15,24,1,0.33,2,15,1.33,1587,0.01,44.83,18.12,2.33,0,0.19,2,0.04,5,4.64,1,79.66,1.02,9,0,22,1.67,15,0,1,0.02,5.02,6,64,0,56.36,1.33,37,28,1,2,5,1,1,4.58,1.33,109.36,0,2,0.06,65.17,0.01,5,4,19.29,14.44,2.82,6
"10",1.34,2,2.93,15,2.01,1,4,39.89,0,279,8.78,23.56,0.06,683,21,164,57.03,1,0,0.4,13,3.35,1356.65,0.92,89,4.79,3,0.61,34,145,1.82,1470,3.37,0.07,58.29,0.98,3,6,20,33.14,18,6,10,13,2,13,0,7,0,10.2,1,1,61.67,5.2,1,143,0.13,12,1.41,18,8.72,3.18,2,7,1,1,3,8,298,3,2,0,119.97,25,24.71,1,19,1,1,61.55
"11",10,7,3.64,2,3.97,3,0.19,3,0.05,11,1.38,26.22,0,163,9,0.85,6,2,0,4.32,10.4,1,21,0.39,1,41,92,0.26,1,6,1.04,13,0.01,35.09,3,0,3,0.01,0.47,1,7,4.65,1.6,8,1.82,4,0,5,1.3,17,0,1,0.18,0.55,50.25,45,0,5,1.04,12.87,17,2,1.46,1.45,0,0.35,1,1.76,2,10.7,6,3,0,0.07,2.12,1,38.96,21,0.27,2
"12",1.47,0.33,0.31,1,0.03,0.04,0.23,1,0,40,1.37,4.63,0,6,2,1,0.77,1,0,13.21,5.29,0.54,45,0.42,0.84,2.93,36,0.28,0.62,1,1.13,480,0.01,38,10,0,1.36,0.01,0.01,0.06,2.85,2.5,1,6,18,3.83,0,49,0,3,0,1,0.02,4,5,2,0,22.15,1.13,12,6.74,2.04,1.46,0.84,0,1.32,2,0.65,3.93,0,1,0,0,1,2,7,7.81,7,0.54,19
"13",2.77,4,7,116.06,1,0.28,0.37,4,0,17.23,7.56,0.78,0,0.94,1.14,1.84,1,0.29,0,10,21,13.11,2,0.46,1.65,117.01,1,0.31,6,26,1.23,158,1.42,21,17,1.87,2,15.54,0.16,2,8,33,9,46.71,4,1,0,10.27,0,12,0,3,1.8,1,86,28,0,8.16,1.23,2,16,12,2.04,1,2,0.25,4,32,3,2,26.4,0,60.15,3,0,2,8.46,0.44,0,1
"14",20,36.23,2,41,4,55,96,1,0.49,143,25,48.76,8.24,27.3,61.29,272.99,20,16.44,0,1,106.11,3,7,0.88,13,10,24,0.59,3.46,117.79,1.82,21,0,0.6,1,0,0,4,27.94,6,2,3.53,19,34,2,29.99,0,21,1,15,0.06,14.41,0.1,2,3,1,7,120.53,1.41,11,3,12.58,1.46,4,0,6.83,4.47,3.7,76,5,0.7,1.44,4.82,0.76,3,25,5,13.64,2.77,18
