"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,23,0,0,50,80,0,89,12,8,0,0
"Otu219",0,1,8,0,5,0,1,1,0,0,0,5,0,0,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,6,0,0,0,118,0,0,0,0,0,0,0,1,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu39",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,78,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,565,96,0,0,0,0,0,0,23,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,111,0,0,52,0,0,71,0,0,0,109
"Otu685",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Otu687",0,1,7,0,1,0,0,1,3,4,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu316",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,11,0,15,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu411",0,0,3,0,2,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu244",59,0,0,0,2,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Otu853",0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,5,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu518",0,0,0,0,3,0,0,3,0,4,0,0,7,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,1,0,0,11,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
