"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",1.15,1,3.01,2,0,0,0,0,1,0,0,2.2,0,23,0,0.71,77,4,2,1,1,7,0.91,0,1,0,1,0,0,0.15,4,18,0,0,0.15,1.71,2,1.56,2,1,5.23,11,2.69,1,1,0,3.22,6.69,18,0.22,1.02,9.07,0.3,0,0.24,2,0.24,94,3,0,0.23,2,20,15,4,1.41,0.16,2,7.97,1,0.66,4.84,44,0,0,0,2,8.2,1,9
"2",1.28,0.18,0.09,2.24,3,21,97,201,27,38,25,0.16,29,0.97,0,0,291,15.48,41,0.69,0,0.02,0.23,20,0.03,3,0.03,0,54,4,1.43,10.15,0,1,4,0.03,0.05,429.71,12,0,496.18,0.36,1.1,139,0.01,1,0.01,48,0.87,1,1.08,315,198,23,0.13,0,30,34.32,73,1,77,11,4756,0.07,0.02,2,2,0,215,20,42,1100,1.81,1,213,67,214,129,0.02,19.69
"3",24,0.03,41,35.18,0,0,0,0,0,0,0,20,0.01,136,0,6,0.38,0.02,0,19,0.76,31,1,0,0.01,0,0,0,0,0.18,1,92,0,0,0.18,18,61,0.16,0,0,0.04,6,7,0,12,0,0,0.04,5.28,0.27,0,2,1,0,1,3,0.01,1.46,0,0,0,0,38,25,6,0.19,0,4,3.15,0.01,0.04,23,30,0,0,0,0.01,0.01,40,40
"4",2,1.58,5,31,0.52,0.24,0,0.1,0.02,0.19,1,11.32,0.02,7,0,0.33,43,4,5.06,3.27,1,2,4,2.01,3.36,0,0.03,0,0.41,0.16,57,39,0,0,0.16,4,2,39.74,0.01,1,4.31,1,2,0.75,2.86,0,3.48,9,9,0.24,0.3,7,2.78,0.02,4.08,1.53,4,27,10.16,0,3,0.06,7,12,4,1,0,1,1,0,1,4,6.31,0,0,0.09,2,3,8,4
"5",15.92,2,0.78,88.41,0,2,0,0,0,0,0,9.73,1,10,0,0.01,91,9.65,1,2,0,14.96,4,1,0.03,0,0.03,0,1,0.1,17,28.53,0,0,0.1,0.11,1,21,1,1,9,10,5.99,1,2.07,0,1,6,18,0.15,0,4,3,0,1,2.14,7,5,33,0,2,2.28,10,7.09,3.32,0.01,1,0.06,4,1,3,11.41,6,0,0.17,0.86,25,8,0.55,23
"6",18,6.25,67,41,0,0.11,0,0,2.71,1,0,1,0,63,0,3,6,5.63,0.05,9,3,29,4,0.05,4,0,1,0,1,0.55,23.97,17,0,0,0.55,37,30,52,0,0.58,4.93,32.14,6,0.01,23.17,0,1.35,1,5.52,0.82,4.53,2.04,0.04,0,14,6,9,6.97,0.9,0,0.11,0,41,12.9,18.67,0.67,0,0.57,8,0,1,26,87,0,0,0,0.31,1,32,58
"7",1,1,20.12,4,0,0.43,0,0,6.75,0,0,5.16,0.02,17.76,0,0.32,12,0.87,5,3,0.27,3.2,2,0.26,0.02,0,1,0,0.63,1,1,39,0,0,1,1.18,1,38.78,1,0.02,9.79,5,2,0.75,1,0,1.57,3,18.37,1,0.26,13,2.94,0,0.1,1,0.59,5,10,0,3,0.46,62,5,1,0.13,0.03,5,7,4,3,14.12,2,1,0,0.05,9,25,1,4
"8",13,2,12,182,0,0,0,0,3,0,0,10,0.01,55,0,9,5.47,2.87,3,12,1,43,4,0,0.21,0,0.03,0,0,0.44,33,25,0,0,0.44,23,23,16,0.02,0.42,6.16,3,5,0,16,0,1,6,7.71,0.67,0,66.29,7,0,3,3,0.26,140,0.67,0,0.17,0,105,14,15.11,0.06,0,1,6,0.38,5.32,13,38,0,0,1,0.49,3.3,23,27
"9",56.33,7,0.35,311,0,0.96,0,0,1.44,0.02,0.87,4,1,61.42,0,0,42,4,8,2,2.41,6.65,2,11.76,4.94,0,2,0,6,0.24,54,16.88,0,0,0.24,0.04,4.32,29,6,3,52.38,12,3.31,10,2.66,0,1,17,6,0.35,1.94,62,10,1,1,1.65,2,131.78,3,0,9,4,39,2.52,8,2,0.04,0.18,28.25,3.63,1,1.7,8.23,0,0,0.66,120,2,0.23,3
"10",164,15,0.2,1.5,0,8,0,0,4.28,0.51,2.56,0.25,19,30,0,0,52,62.65,22,0.8,0.01,0.19,4.2,5,9,0,5.39,0,14,0.63,27,5.88,0,0,0.63,0.05,0.14,102,5,9.52,38,6.63,1.96,33,0.35,0,2,23,3.94,0.95,1,497,24,3,0.51,0.04,7,53.24,182,0,20,12,13.21,0.35,5.89,6.03,3,0.01,1,6,11,1.85,4.44,0,0.38,1,33,86,0.25,4.53
"11",4,1,2.42,25.99,0,0.23,1,0,0,1,0.13,6,0.04,14,0,0.03,47,6,10.81,7.13,0.31,2.12,6,3,0.16,0,0.72,0,0.79,0.2,1,1,0,0,0.2,0.09,1.42,6,0.01,3,6.76,15,3,3.83,12,0,4.35,5,8,0.3,0.29,7,1,0,2.19,2,2,68,1,0.04,5.2,0.04,10,2,1.69,0,0,2,1,0.01,1,0.38,4.17,0,0,0.01,1,1,2.94,0.85
"12",9,0.06,14,96,1,0,0,0,2.08,0,0,6.4,0,47,0,2,44,3,0.15,3,1,7.78,1,0.18,3,0,2.62,0,0.06,0.31,6,5,0,0,0.31,1.15,18,8.68,0,4.62,7,1,3,3.44,6,0,0.42,8.16,3,0.46,0,4.61,0.02,0,0.03,2,1,9.89,12,0,0.43,0.01,23,1.23,0.25,0.52,0,2,3,0,1,18,22,0,0,0,32,0.18,2,18
"13",8,0,7,24,0,0,0,0,0.03,0,0.87,14,0,48,0,2,13,2.77,1.06,2,2,14,27,0,1,0,0.01,0,0,0.3,1,70.88,0,0,0.3,21,12,7.81,0,1,4.56,3.14,5,0.27,2,0,1,18,1,0.45,0.01,10,0.29,1,0.09,2,0.07,44,3,0,0.26,0,200,3,0.98,0.02,0,1,3,0,12.12,7,57,0,0,0,3,0.28,21,3
"14",13,0,36,0.39,0.52,0.06,0,0.1,0.06,0,1,5,0,93,0,3,9,0.05,2,2.2,0.12,23,0.52,0,3,0,0.01,0,0.01,0.16,0.78,26,0,0,0.16,23,28,0.43,0.01,0.02,0.19,1.56,14,0,9,0,0.03,0.78,15,0.24,0,1.31,0,0.02,0.36,6,0,4,0.13,0,0.01,0.06,159,2,0.04,0.04,0,1,12,0,0.06,8,48,0,0,0,3,2,42,16
"15",20.63,2,5,16,0,0.28,0,0,0,0,0,3,0.02,2,0,1,16,7,9.36,5,0.39,2,2,13.23,2.69,0,0.93,0,3.56,0.29,129,3,0,0,0.29,4,10,18.74,0,4.4,1,1,3,1,1,0,1,6,5,0.44,0,17,4.46,0,0.93,0.55,2,8,7.64,0,1,1,61.43,2,1,2.79,0,2.98,27,0,2,2,1,0,0,0.01,3,4,10,3
"16",6.72,1,2.49,5,0,0,0,1,0,0,0,1,1,10,0,0.04,44,0.28,6.42,5,0.06,5.4,5,8.59,0.19,0,1,0,0.25,0.2,3.63,9.95,0,0,0.2,0.25,3,57.51,0.01,0.25,6,1.25,2.64,4,0.37,0,2,15,6,0.3,0.13,5,2,0,0.06,0.47,1,249,2,0,1,1,22,9.58,6.82,0.02,0,0.1,4,0.04,19,59.37,11,0,0,0.01,14,7.2,1,9
"17",4,0.04,36,92,0,0,0,0,4,0.45,0,12,0,13,0,2,1,0.01,0.09,24,0.54,17,5,1,0.36,0,0,0,0,0.59,7.63,49,0,0,0.59,15,59,4.59,0,0.01,14,1.39,9,0,11,0,2.4,4,19,0.89,1,1.81,0.23,0.06,3,4,0.07,49,0.23,0,1,0,117,10,20.15,0.38,0,2,39,0,3.8,9,127,0,0,2,0.54,0.27,27,17
"18",5,2,6,77.53,0,0.28,0,0,0.03,0,0,1,0,48,0,0.71,29,5,1.55,10,4,4,6,0.01,1,0,2,0,0.02,0.24,11,32,0,0,0.24,5.4,9,7,0,1,0.95,20.41,5,0.07,8,0,1.56,1,2,0.35,0,3.35,0.2,0,1,2,0.47,62,1.33,0,1.58,0.09,198,1,8,0.3,0,2,5,0,1.2,4,2,0,0,0,1,14,42.31,6
"19",11,0.37,1,26,0,0.12,0,0,0.05,0,0,1,0.91,2,0,0.84,6,1,13.91,26.14,1,8,14,0.78,2,0,1.32,0,0.61,0.16,2,8,0,0,0.16,1.76,2,19,0.08,2.33,3,2,30.99,3.84,2,0,3.01,19,5,0.23,0,15,7,0,0.72,3,1.34,48,10,0,2,0.13,34,1.61,1.07,0.02,0,1.38,8,0.03,1,5,3,0,0,0.01,12,1,9,5
"20",5,42.8,6,23.13,0,4.58,0,0.74,0.06,0,1.72,21,0.23,5.58,0,0.03,7,8.55,3,1,0.28,1,2,0.57,3,0,0.61,0,8.18,0.8,11,6.37,0,1,0.8,1.35,5.16,13,0.77,12,1,31,6,2,2,0,1.32,15,1,1,0.01,83.31,1,2,4,2,4,22,15,0,1,0.08,8.78,1,4,7.6,0,2.09,1,0.32,6,4,17.1,0,0,0.03,6.74,20,1,8
"21",16,4.58,47,22.73,0,0,0,0,1,0,0.87,9,0,52,0,3,5.16,0.53,0,8,1,57,5,0,3,0,4,0,0,0.47,17,37,0,0,0.47,54,25,3,0,0.88,0.11,6,5,1,27,0,0.15,0.23,13,0.71,3.88,1.48,0.05,1,3,7,0.03,3.95,0.11,0,0,0,124,45.88,5,4.47,0,6,19,0,0.13,73.96,81,0,0,0,0.14,0.05,26,23
"22",5.02,42.8,0.09,41,1,3,1,0.05,5.4,0.81,0.24,1.48,12,6.27,0,0.01,55,24.51,6,19.69,0,0.99,24,20,0.07,0,0,0,9,0.8,1,14,0,0.03,0.8,0.02,0.17,162,2,1,91,4.98,0.97,14,1.66,0,0.43,5,3.45,1,0,20,37,0,2,0.27,1,254,95,1,8,6,13,0.42,27.2,0.01,1,0.01,4,4,6,2,5.53,0,1.66,3,20,50,0.09,4
"23",20.59,4.26,13,25,0,0,0,0,0,0,0,6,0.94,18,0,0.64,4,1,0.07,1,1,15,7.19,1.14,0.78,0,0.01,0,1,0.08,35,22,0,0,0.08,5,6,29,0.01,1,2,10,15,0.89,1,0,1.73,2.08,18.61,0.12,0,31,3,0,2.03,3.14,2,12,1,0,1,0,22,16.03,2,0.22,0,1,4,0.02,2,5,4,0,0,0.01,1.76,4.34,5,2
"24",25,15.74,45,28,0,0,0,0,0.25,2,0,5,0,62,0,3,6,5,2.16,3,1,22,4,0.01,6.18,0,2.14,0,0.01,0.29,129.26,13,0,0,0.29,25,28,2.88,0,0.06,10,8.68,30,0.41,12,0,1.88,2,10,0.44,1,1.39,0.02,0.06,1,4.32,2.8,25.31,5,0,0.66,0.01,55,4.66,10,2.79,0,2,15,0,2.04,8.71,16,0,0,0,26,0.6,25,16
"25",16,3,6,1,0,0.43,0,0,0,0,0,2,0.04,61,0,0.76,3,0.05,0.02,2.12,1,19,9,2,0.01,0,0,0,0.21,0.2,3.46,8,0,0,0.2,7,3,4,0.01,0.01,1,8,7,0,7,0,0.08,0.15,5.38,0.29,0,4,3,0,0.01,1,1,4.3,0.02,0,0.11,0,41,0.33,0.1,0,0,2,32,0.02,0.06,0.39,17,0,0,0.01,0.05,2,53,6
"26",5.42,11.26,1.28,15,0,0,0,0,0.03,0.02,0,3.08,0.93,2,0,2,56,1,6,4,0.04,1.41,1,0.62,1.43,0,0.01,0,2,0.21,39,17,0,0,0.21,1,1.99,9,0.1,0.09,11,10.91,1,0.06,4.47,0,3.15,3,0.34,0.32,0.55,44,1,0,0.8,2,13,41,37,0,1,0,1,1,1,2,0,2,9,0.14,10.02,4.97,6,0,0,0.22,13.91,32.43,3,13
"27",1,3.01,2.35,39,0,0.36,0,0,0,0,0,2,3.44,1,0,0.52,109.5,1,2,19.82,2,1,2.06,5.16,2.47,0,1,0,2,0.12,22,10,0,0,0.12,1.91,14.77,45.71,1.41,0.23,2,17,2,2,1.35,0,2.56,3,6,0.18,0.13,4,12,0,2,4,4,47,9,0,9,0.61,3,4,4,0.1,0.02,4,3,1.38,1,1,18,0,0,0.07,8,1,4,1
"28",27,2.13,1,1,0,0,0,0,2,0,0,2,0.02,13,0,1,8.78,1,0.02,1.52,5.04,9,0.48,1,0.25,0,0.01,0,0,0.3,1,8,0,0,0.3,2,24,1,0,0.19,2.16,2.69,6,0.01,2,0,1,1.54,29,0.44,0,2,1,0,2.03,4,2,3,0.43,0,0.01,1,35,22,2,2.81,0,11,34,0.01,0.62,16,18.12,0,0,0.01,3,0.14,9,16
"29",6,0.12,19,196,0,1,0,0,1.35,0.01,0,27.12,0.01,18,0,8,5.86,6,0.14,5,1,24,2,0.02,2,0,1.7,0,0,0.2,4.9,87,0,0,0.2,15,39,21,0,3,15.48,1,17,0.23,10,0,4.35,2,16.9,0.3,1.65,2.94,2,0,2.87,2,0.12,56,2.7,0,0.13,0,124,33.06,6.8,1,0,9,52,0.01,3,42,75,0,0,0,2.48,0.53,34,26
"30",18,0.01,95,56,0,0,0,0,0.01,0,0,3.33,2,2,0,18,0.41,1.63,0.01,3,3,32,2,1,0.01,0,0.05,0,0,1,6.92,61,0,0,1,15,24,1.84,0,0.04,1.99,1,17,0.09,4.92,0,2,2,4.23,1.5,8.25,0.5,0.62,0,0.01,1,0.04,85,2,0,0.02,0,26,71.29,4,9.5,0,1,5,0,13,23.24,114,0,0,2,1.01,0.54,54,113
"31",5.48,38.91,0.22,875,0,7,1.75,0,1.13,2.24,0,0.76,8,26.84,0,0.01,163,14.91,17,1,0,1.35,2.13,7,0,0,0.01,0,17,0.73,68.58,2,0,0,0.73,0.01,13,130,18,0.91,32.41,28.54,10,5,79,0,0.83,43,30,1,6,36,79,0.24,5,0.08,64,3,49,0,15,17,115,1.68,11,6.91,1,0.01,46.83,9,31,0.99,4.37,0,9,3,86,76,0.07,3.95
"32",3,0.01,30,190,0,0,0,0,0,0,0,2,0.23,21,0,2,12,0.22,0.41,19,1,14,1,2,0.01,0,0,0,0,0.17,2.73,21,0,0,0.17,5,4,14,0.01,0,5.48,8,31,0,14,0,0.39,6,1,0.26,0,6,1,0,0.38,3,0.05,17,0.19,0,4,0,2,6,0.57,0,0,8,49,0.01,3.59,5,15,0,0,0.58,0.43,0.19,4,26
"33",12,0.24,13,36.31,0,0,0,0,0,0,0,1,0.01,224.19,0,5,2,3,0.06,15,5,17,9.29,0.01,1.2,0,0.92,0,0,0.29,21,52,0,0,0.29,27,45,1.15,0,1,0.94,3.14,13,0.32,11,0,1,0.76,2,0.44,0,3.5,7,0,7,10,0.27,80,1.14,0,0.22,0,10,28,10,2.79,0,2,4,0.03,1,7,8,0,0,0,1,1.43,14,16
"34",4,0.09,3,8,0,0,0,0,0,0,0,1,3,77,0,5,22,0.24,1,5,2,9,1,0.26,0.47,0,1,0,0.07,0.12,7,6,0,0,0.12,1,18,7.51,1,0.02,2,3,15,0.04,8.24,0,0.1,11,1,0.19,0.13,2.23,2,0,0.13,1,1,1,0.55,0,1,0,2,6.31,3.15,0,0,4.32,19.84,0.18,1,1,49,0,0,0.02,0.17,0.39,18,8
"35",2,1,14,7,0,0.1,0,0,0,0,0,0.9,0,4,0,0.03,4.77,0.75,0.15,0.04,0.01,6,1.74,2,0.01,0,0.02,0,3,0.14,34.06,1.41,0,0,0.14,2,2,10,0,1,15.82,6,12,2,2,0,3.09,32,6,0.21,0,1.29,0.43,0,1,0.02,4,20,1,0,0.06,0.3,30.63,16,4.82,0,0.02,0.04,4,0,1,2,12,0,0,0.01,2,1,5,0.89
"36",9.64,38,0.04,6.61,6.34,18,26,41,0,2,7,130,33,1.39,0,0,316,65,294,104,0.02,0.1,0.3,29,0.06,0,8.71,0,21,1.26,11.06,1.05,0,0.03,1,0,0.11,358,51.68,0.37,9.62,8,1.57,15,0.08,0,0.14,57,1.65,1,0.52,240,170,11.21,2.95,0,33,951,94,1,58,4,22.29,0.04,0.13,0.42,2,0.06,12.12,10,51.23,0.09,6.63,0,63,29,128,78,0.09,0.68
"37",6.82,39,0.51,25.23,2,15,34,0,12.56,0.02,5.67,16.29,37,666,0,0.04,170,73,16,84,0.01,1.03,0.43,7,18,0,15.82,0,50,1.26,60.94,4.86,0,0,1,0.05,0.81,341.99,11,27.92,223,71,0.86,83,0.74,0,2.35,64,9.21,1,0,197,129,0,0.68,0.1,25,878,385,1.88,55,7,23.18,4.34,10,17.68,132,0.34,38.35,7,24,716,21.66,0,2,24,1414,215,0.32,1.95
"38",16,1.6,0.8,9.83,0,1,0,0,0,0,0,2,6,2.55,0,0.01,31,4,8,32,1.78,0.06,20,6,0.52,0,1,0,2,0.22,2,9.28,0,0,0.22,0.19,0.53,17,1,1,2.39,3.61,3.35,2,0.05,0,0.15,9.57,32,0.33,0.13,54,7,0,5.65,0.23,0.61,24,1,0,2,7,22.96,1.14,3.57,0.02,2,1,10.01,1,5,30,23,0,0.28,1,13,18,0.08,1.51
"39",11,1,27,277.14,0,0,0,0,2,0,0,16,0.03,22,0,4.03,6,0.62,0.65,6,1.53,15,15,0.01,0.08,0,34,1,0,1.26,39.41,42,0,0,4,12,79,34,0,0.1,2.11,17,23,0,7,0,2,5,13,6,0,28,5,0,2,1,0.46,79,0.89,0,0.26,0,51,31,3,22.14,0,2,20,0.02,9.55,10,56,0,0,0,0.81,3.13,26,22.58
"40",16,0.01,8,21,0,0,0,0,0.22,0,0,8.27,0.02,18,0,6,4,0.03,0,2,1.01,6,4.21,0,0.75,0,1,0,0,1,9.81,24,0,0,1,10,17,15.94,0,0,3.14,1,2,0,5,0,0.41,2.66,1,1.5,8.25,6,0.33,0,4,1,0,207,7,0,2,0,34,18,8.57,9.5,1,1,17,0,0.6,19,15,0,0.17,0.01,3.1,0.11,15,2
"41",3,0.07,2,23,0,0.16,0,0,1.3,0.01,0,1,0,16,0,3,13.71,3,0.01,9,3.27,9,3,1,1,0,1.64,0,0.02,0.19,54,3,0,0,0.19,3,4,2,0.01,2.89,0.8,1,10,0.01,7,0,1,3.48,6,0.29,1.59,0.28,0.32,0,1.05,2,0.17,26,8.57,0,3,0.22,32,11,1.95,1,0,9,32.31,0,0.47,2,22,0,0,2.53,16,7,7,23
"42",8.06,13,0.27,16.17,0.53,73,0.24,0.1,0.04,15.2,1,60,2,27.78,0,0.01,104,2.4,12,19.27,0,138,1.36,2,0.19,2,0.07,0,5,1.6,101.56,31,0,0,1,0.3,3.29,226.57,3,0.13,60,34,2,4,12.22,0,1.14,41,96,1,0.78,318,38,0.02,4,1,86,731.14,79,0,21,7,521,0.25,1.82,3,2.26,0.13,91,2,20,0.94,53.81,0.79,1,6,61,9,0.9,1
"43",4,1,1,28.72,0,0,0,0,0,0,0,2,0.08,3,0,0.07,17.85,0.27,0.88,6,0.01,7.94,4.61,0.28,0.16,0,5.67,0,0.02,0.67,159,2,0,0,0.67,0.78,4.23,1,0,2,5,14,4,0.86,3.09,0,1.19,15,3,1,0,9,3,0,2,14.76,4,31,6,0,0.08,0.01,58,1,22.67,0,1,5,20,2,2.47,2,13,0,0.17,0,23,0.36,2.02,1
