"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",0,1,5,30,86,14.87,1,1.3,5.82,9,3.07,14,0.08,18,2,5,0.32,1.79,15,10,1,0,9,4,32,16,35,27,0.04,1,2,0,4,0,0.26,0,3.01,0.36,1.42,3,4,0.13,0,91,0.2,1,0.01,10,13,26,1,0.08,46,84,39,8,0,29,2,0,31,0.96,3,0.36,0.02,0,0,0.23,0.45,9,15,0.64,2.33,11,11,0.09,0,10,0.17,0.04
"2",0.05,0.25,10,7,7,13,1,0.08,0.72,5,0.72,2,0.1,5,5,6,0,0.05,9,1,1,0,46,0.8,7,0.37,49,8,0.14,0,1,1.62,6,0.71,0.02,0.24,0.97,0.32,2,5,1,0.53,3,132,0.13,0.03,0,0.1,25,6,4,0.1,1.55,38,29,1,0.01,28,4,1,41,0.95,1.53,0.32,0.02,0,0,1,0.41,1,0.41,1,6,1.3,3,14,0,3,0.66,0.04
"3",0,0.46,1,8,38,4,4.32,0.07,2.72,4,4,0.64,1.29,4,13,3,0,2,22,1,22,0,19,2,43,0.56,50,8,0.21,0.01,1,0,7,0,3,0,2.89,0.43,4,2.82,1.35,0.34,0,114,0.09,0.05,0,0.27,16,16,5,0.14,5.43,310,167,4,0,47,21,0.05,149,3,1.76,0.43,0.32,0,0,0.26,0.54,16,0.67,1.06,2,1.02,17,0.12,0,18,0.12,0
"4",0.05,0.04,1.7,37,1,8,2.17,2,0.34,0.45,0.64,0.2,0.44,3,26,2,0.27,0.07,12,19,1,0,26,0.21,20,1,3,37,0.33,1,2.12,0.56,12,0.71,0.17,0.24,18,0.22,2,2,1,11,0.03,88,1,2,0,0.26,59,4,8,4,2.17,11,90,4.78,2,48,8,1,76,4,2,0.22,0.11,0,0,111,0.27,9,1.02,3.33,20,1,31,11,0,14,0.68,2
"5",0,0.2,10,10,32,11,1,0.15,2,0.38,0.34,1.13,0.01,10,11,2.95,0.03,0.05,22,3,0.12,0,54,0.38,28,2,85,2,0.06,0.08,2,0,1.22,0,0.08,0,2,0.28,1,7,6,2,0,189,0.22,1,0.02,0.17,112,37,1,10,3,107,1,1,0.01,66,7,0.02,59,0.05,1,0.28,0.01,0,0,0.22,0.34,0.59,0.03,0.43,0.19,3,11,0.01,0,2,0.02,0
"6",1.64,5,65,4.43,1,2,0,14,35,10,66,77,15,0.95,0.78,0.13,1,17,1,0.06,31,1.4,1.99,12,15,12,9.21,1,7,12,0.01,2,0.23,1.05,4,1,19,0.4,0,1.23,0,26,3,2,15,4,2,49,8,0.39,0.04,8,18,8,3,0,0.92,2.04,3,1.9,3.25,0,0,0.4,2,0,1,99,0.5,3.98,39,42,35,1,2.03,6,1.3,0.07,18,4
"7",1,17,11,2,1.64,1.92,0.01,1,11,15,55,35,6,1.77,0.65,7,1,22,3,0.03,50,0.94,1,20,6.54,14,9.46,1,9,3,0,1.34,0.43,0,3,0,19,0.27,0,1.04,0.01,87,1,3.98,25,13,3.68,56,2.24,1.99,0.07,23,166,34,2,0,3,3.06,1.55,0,17,0.12,0,0.27,11,0,0,93,0.34,2,18,24,248,0.09,2.73,35,0,1.31,28,4
"8",0,21,27,5,0.25,1,0,5,86,29,22,24,25,0.17,0.75,0.53,10.27,17,0.3,0,33,1.51,0.38,10,2.82,18,0.87,14.5,24,2,0.02,2.16,0.03,0,6,0,35,0.43,1.81,0.38,0,30,4,1.46,10,10,4,19,1.2,0.51,1,23,48,3,3.34,0,1,1,0.08,0,1.08,1,0,0.43,15,0.06,0.01,58,0.54,0.5,29,49,81,0.03,0.11,15,1,0.05,13,4
"9",0.91,4,42,0.24,38,2,0,9,34,7,54,20,11,0.21,3,0.19,2,6,3.91,0.02,3,0,2,11,7,2,1.23,2.75,7,5.72,0.01,1,4,0,8,0.09,338,0.27,0,5,0,25,1,7,15,1,7,10,0.81,1,0.02,17,138,35,3.29,0,2,1.71,0.22,1.27,5,0,0,0.27,7,0,0,69,0.33,0.54,26,12,11,0.01,0.19,4,0,0.09,2,3
"10",0,2,22,0.06,0.38,0.02,0,1,10,8,11,16,14,5,1,0,1.09,14,0.12,1,42,1,3,22,1,3,0.09,1.53,9,3,0,2.22,0.02,0.76,18,2,346,0.44,0,1,0.01,52,1,1.5,52,6,2,31,0.12,0.98,0,38,62,1.78,1.33,0,2.19,23,0.03,0.03,2,0.03,0.01,0.44,5,1,1.22,66,0.56,0.55,25,19,26,0.1,0.02,12,1.44,2,21,1
"11",4.25,1,28,43,14.19,8.84,0.01,2.68,7.06,25,3,18.4,1,7,2,2,3,4.82,1,11.52,1,0,5,35,20,5,14,2,1,1.54,3.72,1,3,0,3.55,0.09,24,1,9.25,12,1,3,0.37,27,4,4,0.15,5,14,2,2,23,1,5,113,0.32,7.51,1,1,4.75,1,6,2.33,1,5,1.02,2.75,44,1.25,17,2,2,90,4,18.35,34,0,3,1,3.3
"12",0,0.44,0.16,5,3,0.16,0,1,14,11,27,0.47,32,2,0.4,1.97,4,15,0.14,15,1,0,1,10,27,16,148,6,0.09,4,0,0,10,0,10,0,9.13,0.26,0,0.19,3,27,0,4.96,1,0.23,0.08,1.3,4.3,2.62,0.94,0.29,32,28,41,1,0.01,12,17,0,62,1.94,0.57,0.26,2,0,0,2,0.32,44,6,2.85,19,1,4.94,1,0,4.15,4.59,0.18
"13",1,4.22,21,4.4,31,0.15,2.62,2,0.29,14.16,69,90,1.83,10.62,5,2,1,0.29,31,5,8,1.02,46,14,48,22,55,37,1.66,1,1,0.03,30,0,0.76,0,128,0.37,1,2.86,8,8.93,0,16.63,10,0.37,0.02,1.19,10.07,1,0.98,5,14.9,127,58,0.23,0.16,5,4,0.02,13.13,1,0.27,0.37,3,0,0,31,0.46,13,12,13,69,0.71,6,8,0,1.99,8,3
"14",0,2,22,0.2,24,0.08,0.01,2,0.44,0.92,0.35,1.76,0.17,0.23,3,0.09,1,0.02,10,1,2,0,12,44,59,16,9,1.8,6,0.46,0.02,0,2,0,0.1,0,33,0.32,3,0.7,1,0.63,0,7.98,2,11,0.01,1,19,7,0.08,1.19,3.77,12,6,0.01,1,5,0.25,0.05,2.93,8,0.39,0.32,4,0,0,2.05,0.41,40,23,4,11,0.37,4,0.24,0,8,0.15,3
"15",0,0.31,49,0.17,4,0.01,0,5,0.01,0.13,0.25,50,23,3,6,0.01,3,11,0.37,9,0.84,0,0.06,0.18,107,5,64,0.94,0.43,6,0.05,0,5,0,24,0,86,0.23,0.01,0.04,1,1.15,0,44,14,0.22,3,22,19,5,2,0.41,195,16.39,53,2,0.01,17,8,0,2.55,4.71,0.57,0.23,0.02,0,0,37,0.28,27,4.87,2,42,1,4,22,0,0.91,8,2.94
"16",4.25,14,1,14,12,4.6,0,9,4.45,9,37,2,23,3,9,3,1.27,24,2,9.98,56.31,0.8,11,18,9,6,44,15,0.69,1,0,5,7,0,0.6,4.5,15.22,1,3.98,2,0.48,1.01,1,15.36,27,4,0,12,19,7,1.8,7,59.8,23,4,1.19,3,14,2,4.75,24,2.75,1.13,1,2.79,1,2.75,17,1.25,39,25,82,29,1.53,1,39,0.16,9,3.61,1
"17",0,1.16,0.32,1,40,1,0.12,0.04,23,16,9,3,2,6,29,5,0,43,0.45,0.2,26,0,93,0.12,39,0.06,1.24,30,0.06,0.17,0.07,0,0.09,0,0.05,0,0.27,0.26,0,0.1,0,0.69,0,2.08,0.07,0.05,3,0.65,2.23,0.29,3,0.04,132,248,2.65,2,0,22.71,13,0,3.25,0,1,0.26,0.01,0,0,0.51,0.32,0.22,2,2,1,4,0.14,0.03,0,3,5,2
"18",0,2.44,1,27,3,21,1,0.03,7,31,23,3,1,11,3,0.9,0,33,1,0.11,1.54,0,6.11,33,2,0.05,9.06,3,1,2,2,0,0.02,0,20,0,20.9,0.22,2,10,0.04,0.27,0,3.12,6,4,4,2.46,32,0.18,1,0.03,28,156,86,0.42,0,3.95,11,0.03,9.74,0,0.04,0.22,0.11,0,0,0.81,0.28,0.99,19,91,25.17,4,13,1,0,0.01,39,1
"19",0,11,2,29,23,1,0.01,0.07,15,1.89,22,4,4,6,1,1.14,0,8,1.14,0.1,1,0,5.14,11,1.46,0.39,4.82,32,1,1,1,0.15,0.04,0,15,0,103,0.43,0.06,4,0.03,2,4,2.47,32,22,1,9.98,35,2.37,0.39,5.38,61,20,76,0.23,0.17,5.47,15,0,29,2,0.01,0.43,6,0,0,1,0.54,1,8.42,1,2,0.35,1,4,0,5,3,0.17
"20",0.91,0.91,30,1,2,9,1,1.27,0.31,1.11,3.65,2,6,4,7,6,0.06,2,28,1.54,4.89,0,7,1,20,5,14,16.68,18,1,1,1,2.35,0,12,0.09,338,0.22,0.11,6.79,0.41,26,0.06,6,32,0.07,3,9,78,9,1,15,6,47,182,3,0.01,39,25,1.05,77,0.44,0.88,0.22,0.94,0,0,119,0.28,1,2,1,6,4,9,3.95,0,2.08,3.88,5
"21",0.05,5,24,7,1,3.87,0.02,3,23,1,1,12.22,2,0.73,9,11,0.01,1.47,1,0.35,2.05,0.78,1,8.92,2,5.72,105,1,0.83,1,1.41,1.11,1,0.72,10,1,37.56,0.22,0.05,0.37,0.08,6,1,53,5,2.37,5,54,80,9,5,12,150,94,82,0.01,3,6,6.26,1,104,2,0.34,0.22,6,0,0.06,12.21,0.28,1,6.69,25,193,1,24.4,2,0,6,9.01,1
"22",2.43,2,75,57,3.76,15,5.71,0.21,2,4,37.76,26,2.97,8,4.62,16,0.98,27,1,0.59,11,2,12,21,13.03,12,31.48,28,2,8,2,1,21,1,5.8,2.57,299,0.57,5.29,17,1.19,51,3.17,28.15,2,3,1.26,30,23.06,1,3,4.24,117,189,39,1,1,2.99,9.89,2.71,27.86,1,0.01,0.57,0.81,1.29,1.04,28.63,0.71,25,1,5.41,12,0.24,5,5,1.86,1,1,1
"23",0.05,38,48.68,45,4.83,0.68,0.02,8.3,20,3.2,14,104,19,16,0.17,0.31,0.24,30,7,18,10,1.23,3,8,37,1,7,44,5,9.02,1,0.02,10,1,6,0.03,40,0.36,3.36,0.09,1.02,14,0,133,4,3,0.4,10,9,18,0.13,29,57,48.34,5,6,1.39,3,8,1.73,8,2,0.19,0.36,15,0.82,1,129,0.45,45,4,2.06,64,0.87,1,9,1.18,7,2,0.44
"24",1,4,20,8,19.51,17.89,0.02,0.49,24,44,10,10,0.07,6.47,11,7.33,0,1,15,17,0.19,1.02,71,38,16,2.2,23,58,4,1,1,2.11,0.33,1.37,2,1.89,107,0.42,0.44,3.62,0.02,12,0.22,1,31,1.18,1,9,14,0.45,10,23,5,39,11,2,0.06,2.02,8,2,91,0.06,1,0.42,2,0,1,0.92,0.53,1,14,0.71,4.99,0.08,0.25,4,1,0.16,25,0.02
"25",0,7,5.39,18,2,0.49,1,1,16,0.4,69,41,12,3,0.49,4,1.36,24,12,0.17,5,1.27,4,2.22,1.1,4,8,14,4,0.12,3.55,0.02,19,0,4,0,54,0.36,1,2,0.15,14.05,0,3,1.11,6,0.17,33,29,18,3,10,131,1,3,0.04,0.13,3.3,1.33,1.73,44,3,1.16,0.36,0.28,0.06,1,52,0.45,9,18,3.47,110,7,2.39,2.68,1,3,1,5
"26",0.85,11,54,21,49,12,1,12.95,12.25,13,55.62,68,18,8,2,1,0.93,1,42,3.46,25,0,2,1,4,10,38,3,5,1,0.14,1,11,0,9.77,0.09,249,0.2,0,2.19,0.53,31.31,0.02,3,12,10,2.6,16.67,29,1,1.01,39,50,2,115,2,1,32,14,0.95,4,4,1,0.2,8,0,0,149,0.25,1,32,9,123,3,7,9,0,4.01,16,3.05
