"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",1,2,0.72,1.13,1.26,1,0.16,0,1,14,0.38,0,0.19,12,2.91,1.13,1,4,0.59,4,8,1,2,2,2.95,1,0.01,1,0,3.73,0.67,0,0,12,1,0.79,0,7,1.31,4.86,3,0.46,0.21,3,4,0.39,2,16,1,1,12,0.57,0.15,0.05,1,0.01,34,0.35,6,3.26,1,2,0.72,0,2.71,0.5,0.31,0,1,0.51,8,1,1,0.16,10,32,0,0.19,1,0.64
"2",7,5,0.03,0.9,13,0.63,5.3,0.17,12,11,0.88,2,1.29,10,1,1,0,4,0.82,2,58,97,2,2,4,1.67,4.99,2.9,0,18.11,2.14,0,0,46,1,0.18,0.95,30,26.51,6.2,1,0.25,0.16,5.29,0.96,0.8,53,5,0.74,6,4,0.42,9,0.2,0,0.04,21,10,13,9,2,0.57,2,14.19,2,7,4,0.17,0.48,26.94,4.24,0.74,2,2,91.3,3,0,4,4,0.48
"3",3,4.36,0,1.13,8,1.23,9.79,2,19,7,1,7.64,6,5,2.91,8.13,0,6,2,5.02,132,2,2,1,11,1,16,2,0,4,3,0,0,6,2,1,0,3.22,7,9,20,0.43,0.21,67.29,1,7.11,10.67,50,0,4,52,0.57,1.86,4,0,1,1,14,6,58,14,1,7,0,7,1,6,1,0.22,47,8.7,1,0.43,0.75,3,3,0,1,21,0.64
"4",0.15,0.18,0,0.75,4,0.02,0.05,0,12,11,0.01,0.02,1.45,9,2.91,9,0,0.2,0.24,8,9,18,3,0,0.53,1,12,2,0,2,0.02,0,0,0.35,4,0,0,0.26,60,6,0.47,0,0.13,3,0.04,1,20,12,0,0.28,2,0.35,0,0,0,3,2,1,12,7,0.13,0.36,8,0,3,0.07,13,0.01,0,33,0.18,0,0.04,0.02,1.78,0.09,0,0.03,0.37,0.4
"5",1,6,8.7,1.68,4,3,2,4.94,4,125,5,4,14,2,29.94,29,1.07,7,6,96,11.83,9,5,2,6,24,21.77,1,0,12,5.1,1,0,8,33.19,6.95,0.03,2,5,14,40,7.71,0.3,36.7,3,2,65,19,1.38,23,515.32,0.79,18.71,3.59,0,4,3,2,81,2,50,6,37,2,8,3,16.8,0.61,1,6,22,0,1,3,1,30,0.04,2,1,0.89
"6",0.04,0.67,0.09,1.21,0.65,0.01,0.1,0.01,0.88,22,0.07,0,1.02,1,2.91,13,1,4,0.36,1.6,1,32,1.55,0,0.25,2,1,21,0,4,0.04,1,0,13,0.81,2,1,6,1,12,0.64,0.09,0.21,0.16,1,6,22,12,1,3,6,0.57,0.12,0.02,0,0,16,0.04,13,2,0.23,4,0.24,1.98,1,14,0.39,0,0.14,0.46,0.3,1,6,0.01,4,2,0.08,0.08,11,0.64
"7",58.77,1,82.09,15.86,21,3,5,4,6,26,0.01,1,3,164,282.65,20,1.84,16,15.1,1,29,67,2,1.12,29,1,36,10.88,0,227,2,1.31,0,24,7,0.12,2,16,1,23,70.6,0.04,1,7,9.81,3,41.94,11,13.06,5,20,1,2,1,1.68,0.81,8,13.11,3,61.65,13,1,1,250,23,27.05,24,0,38,79,17,0,3,1,72,78,0,1,186,1.09
"8",1,1,0,1.13,2.26,0.02,0.69,0.38,1,33,1,0.01,0.24,34,2.91,17,0,38,1,18,4,1,1.42,0.03,5,4,2,26,0,1,0.02,0,0,2,3.98,0.03,0,5,1,1.31,13,0.03,0.29,4.36,0.26,1,5,18,0,2,3.11,0.78,20,0.04,0,1,3,0.91,3,1.31,5,2.54,2,0,0.13,1,0.34,0,0,1.13,3.59,0,0.28,0.02,5,0.46,0,0.79,27,0.88
"9",5,23.05,5,2.43,15,8,5,7.14,8,400,16.43,2,2,23,43.29,126,2,44,1,9,20,16,1,2,2,2,1,23,0,9,8,2.86,0,29,41,1,1,7,5,1,217.14,3,0.43,71.25,12,2,23,226,2,19,4,1,12,10.29,1,13.29,15,50.61,140,174.98,14,8,12,1,12,6,27,0,2,12,55,2,15,0.24,121,19,1,1,48,1.09
"10",4.58,1,2,0.97,6.07,0.42,0.21,2,2,163,0.01,1.14,2,9,2.91,15,0,2,1,4,10,8,0.74,0.14,13,4,1.84,4.08,0,3,1,0.34,0,44,3,0,0,18,1.75,10,4,0.27,0.17,1,4.99,1.87,3,10,0,2.72,30,0.45,5,0,0,0.03,2,0.48,16,1,3,2,1,0,2,2,1,0,1.03,12,6,0,1,0.18,133,19,0,0.17,65.68,0.51
"11",1,0.94,0,1.04,2,4.34,0.23,1,1.01,21,0.05,1,7,34,2.91,2.41,0,6,4,5,22,9.62,4,0.11,6.89,8,0.11,6,0,6,7,0,0,1,1,0,0,2,4.38,1,38,0.25,0.18,0.46,3,3,14,12,0,8,38,0.49,1,0.26,1,0.13,22,1.16,1,18,1,4.41,1.21,0,3.14,13,16,0,1,1,18,0,0.43,0.17,32,4.4,0,2,6.17,0.55
"12",1,4,0.45,1,9,1,1,1,21.52,31,2,8,12.38,35,2.91,42,1.05,4,1,9,14,6.14,1.59,3.96,16,3,6,8,0,2,5.03,0.01,0,5,23,5.38,0.33,4,1,1,58.36,4,0.22,4,2,3.12,2,26,0,3,318,0.6,2.96,3,2.47,1,3,40,42,10,12,2,4,0,11.7,15.85,55,5.01,1,18,9,0.52,1.85,2.77,87,31.57,1.36,1,208,0.67
"13",2,1,2,3.78,4,5,0,0,4,7,1,0.02,0.57,14.59,2.91,24,3.11,1.69,1.15,24,1.39,0.74,0.1,0.01,4.55,11,0.1,1.09,0,6.73,0.15,1,0,7,8,1,0.28,4.78,1.84,15,13,0.1,0.67,0.14,1,0.45,3,16,0.66,4,20,1,0.03,2.13,0,1,2,1.43,3,7,1,1,3,0,23,0.15,0.44,0.01,1,1,11,1.98,0.59,2,61,2,0.02,0.03,111,2
"14",5,1,3,1.13,18,1.6,1,0.07,8,9,11.5,4,1,37,2.91,11,1.4,10,10,4,44.69,11,7,1,3,0.98,11,15,0,12.82,2.93,2,0,16,2,1,0,3,24,28,9.47,7.8,0.3,12,1.37,1,46,31,1.16,11,12,0.8,7,2,0.2,9.3,1,2,8,21.98,1,3,1,0,9,3.71,13,0.01,1,31,12,0,2,0.51,16,1,1,0.02,84.24,0.9
"15",1,2,0,1,9,1.17,0.18,1,0.91,2,0.01,0.12,28,8,101,1,4.67,0.32,6,4,1.01,3,0,0.09,20,2,1.08,1.31,0,0.08,1.58,0.01,0,4,4,0.04,6,0.48,1,2,3.61,0.98,1,0.12,0.35,0.05,1.43,3,1.04,0.5,1,2.67,1.64,1,0.25,1,0.24,1,0.48,15,13,0.14,0.18,89.33,0.54,5,2,1,6.04,7,11,1,0.17,0.36,36,1,6.33,0,89,3
"16",1,1,0.59,1.13,2,2,0.29,0,3.47,8,1.53,0.18,6,3,2.91,2.26,0,4.58,2.78,34,17,8,1,0.01,5.11,2.87,1,4,0,2,4,0,0,7,10,6,0,7,11,10.05,9,0,0.25,5,0.99,13,64,16,0,5,10,0.67,0.09,1,0.02,0.22,6,23,2,10.84,27,7,1.37,0,0.45,0.2,1,0.21,0.02,0.71,8,0,3,1,88,3.51,0,2,57,0.75
"17",30,5,1,1,1,3,1.48,4,15,37,2,0.84,3,9,2.91,24,1.07,1,11,2,1,12,1,6.45,72.98,8,20.48,2,0,10,6,2.43,0,10,6,8.76,2.19,9,8,8,4,3,0.36,1,5,2,13,2,0,12,54,0.97,2.57,8.76,1,3,17,36,8,199,2,1,13,0,3,4,3,8.15,10.47,124,12,1,1,2,54,55,2,3.82,228,1.09
