"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu280",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,3,0,0,18,0,0,0,24,0,5,12,0,0,0,17,15,19,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Otu147",0,0,6,1,3,0,0,1,1,1,7,4,1,0,0,0,2,2,0,0,0,0,0,0,1,12,0,2,0,0,0,3,6,2,0,0,11,6,5,0,8,0,0,7,0,4,2,0,2,7,0,8,0,0,0,5,2,5,0,0,0,2,0,0,0,8,0,0,0,31,0,0
"Otu39",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,78,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,565,96,0,0,0,0,0,0,23,0,0,0,29,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,109
"Otu717",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0
"Otu436",0,2,0,0,0,1,8,1,0,0,0,0,0,3,14,2,24,0,0,12,0,1,2,0,0,0,0,11,0,0,5,6,0,0,0,44,0,0,0,51,0,0,0,0,0,0,1,7,0,0,29,7,0,0,0,0,5,0,0,3,6,0,0,3,25,0,0,1,0,0,0,88
"Otu22",36,0,6,29,135,9,8,0,34,57,6,73,84,43,14,4,19,57,167,0,4,83,81,0,39,65,5,9,0,75,7,18,101,0,0,20,58,620,0,33,45,0,0,148,104,0,0,30,22,20,24,29,14,14,24,21,6,0,0,3,1,0,0,4,128,49,29,82,9,86,37,23
"Otu616",0,0,0,0,2,0,0,0,2,0,7,1,2,0,0,0,1,3,3,0,2,0,5,0,0,3,8,1,0,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Otu208",12,12,45,0,37,20,0,253,0,0,0,0,0,0,0,77,0,0,0,313,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu284",0,0,3,7,39,0,0,0,0,34,5,9,6,0,7,1,0,2,1,12,1,0,52,6,1,18,42,1,0,16,8,16,7,2,8,7,2,0,0,5,8,4,0,26,20,1,0,3,0,0,0,3,0,24,17,19,0,11,0,8,2,0,2,0,2,0,0,0,0,0,0,6
"Otu169",0,0,37,6,0,0,0,0,0,0,0,10,13,10,0,0,14,0,48,0,6,1,6,1,6,0,8,0,0,7,10,0,12,17,0,3,10,74,0,17,8,5,0,38,38,2,38,13,23,0,6,1,97,0,0,2,0,0,29,0,1,0,0,0,0,7,0,0,0,0,0,0
"Otu242",9,7,0,8,37,0,5,4,17,29,0,0,47,13,0,5,0,0,0,0,1,47,28,0,0,4,30,2,10,13,2,0,3,10,6,3,0,6,1,17,8,10,0,0,0,0,2,0,4,0,5,1,0,3,3,2,0,0,0,0,1,11,0,2,0,0,11,0,0,0,0,0
"Otu745",0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Otu667",0,0,5,9,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,34,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu151",18,1,0,0,27,14,5,8,7,9,21,0,5,16,13,0,7,0,30,7,0,0,29,6,1,0,10,3,5,4,1,0,0,31,26,0,0,0,0,0,6,1,2,0,0,1,8,23,3,4,0,0,0,13,0,5,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"Otu405",0,0,0,0,0,15,2,0,0,0,0,0,0,0,30,13,0,0,0,4,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0
"Otu36",19,0,0,4,146,0,0,0,0,30,135,2,25,20,0,0,21,0,80,0,0,3,366,5,0,17,0,0,25,0,0,187,40,64,0,3,113,94,0,7,42,0,0,0,48,60,0,12,20,0,143,3,92,41,479,0,191,503,0,65,0,0,61,174,0,174,160,311,0,0,250,0
"Otu55",9,1,1,122,56,11,0,9,74,43,0,130,1,0,31,0,0,119,0,0,23,71,255,0,0,10,3,76,31,0,0,0,0,45,0,0,0,47,0,0,81,3,17,0,2,10,0,0,0,4,0,0,0,0,42,371,7,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0
"Otu64",767,0,0,1073,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,125,0,0,0,0,0,1590,698,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu35",0,194,31,0,0,17,354,0,0,0,0,886,0,0,364,335,0,0,0,674,0,0,0,0,0,0,0,37,0,0,404,0,0,0,0,814,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
