"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",2,0,5,0.47,33.95,2,1,96,2,2,1,42.49,13.22,0.21,118,3.4,1.47,3,33,0.17,10,0.48,5.76,1,1,1,0.05,2,0.85,2,0.28,3,1,16.37,0,2.39,0.02,2,0.06,1,0.25,298,1,29,4.2,3,8.29,0.1,4.49,13.33,3.87,15.41,0.32,20,132,1.83,19.77,0.02,0.19,1.64,1.94,93,3.13,15.99,2,1.28,7,1.02,4,14.33,0.01,2.24,0,0.22,1,14,0.28,1.16,1,4
"2",4,0,2,5.81,7.52,3.73,10,6,0.99,7.08,23,5,10.81,16.18,15,21.93,13,4.56,1,2.8,2,0.62,1.1,90,2,2.46,188,2,0.88,0.13,6,76,17,32.46,0,3,0.1,1,3,2.83,5,15,0.04,7.69,1,0.78,4,2.56,235,4,4.98,2,0.41,8,4,67,2,0.91,2,22,2.31,1.94,36,12.8,0.43,19,10,4.15,20.89,16,1,15.76,0,1,1.87,2.32,1.37,0.18,1,90
"3",0.08,0,4,0,5,0,1.04,3.95,4,1,0.38,5,1.66,1,76,28,0.97,0,1.28,0,26,0.4,0.79,5.47,0.76,2.67,0,4,1,0.46,0.14,3,3,16.37,0,7.26,8,0.01,4,0.04,29.57,1,44,10,0.58,0.25,35,0,97,0.24,1.03,0.03,0.26,9.02,24,8,0.68,0.27,1,1.5,1.59,2,0.67,14,2,6,16,0,0.05,0.17,0,3.5,0,0.44,11,46,0.04,0.15,0.04,1
"4",1,0,1.65,0,10,0.02,2,24,13,10,0.08,41,6.27,0.01,6,3,1,0.04,0.25,0,45.24,0.3,0.87,4,0.01,5.83,0,3,3,0.28,0.52,57,21.18,15.42,0,20.92,1.69,0.01,2.81,0.2,1,35.59,1,14.31,2,0.02,61,0,5,3,2,1.55,0.2,12,77,7.03,3.46,3,1,2,1.18,37,8.56,3,2,6,8,0,0.63,6.18,0.09,11.66,0,1,3,1,0.01,0.01,0.2,27
"5",47.88,1,39,56,122,2,1,94,67,3,1.61,57,119.17,1.24,236,325.97,45,0.61,30,27,44,1,78.32,4,101,19,2016,53,52,0.86,1,105,76,313,90,13,0.63,102,1,53.16,5,68,38,4,1,3.92,328.52,1,19,14.36,1,6,4,44,82,17,17,78.83,13,102.19,24,233.79,26.3,59,72,26,1,1,13,2039,1,26,0,21.87,7,8,0.6,0.13,17.48,12
"6",0.02,0,2,30.42,1.58,0.02,2,7.25,25,4.72,0.39,3,76,1.45,12.56,9,20.62,1.16,2,14.67,43.91,1,13,13,2.43,0.05,1095,3.09,6,11,7,4,0.56,170.01,0,2,2,0.02,1,0.3,4.48,8,1.4,17,3,0.47,0.24,9,2.93,1,0.1,1,1.26,0.69,46,2.16,57,1,11,6,2.31,1,3.29,5.96,1,21.25,2,0.02,0.17,136,67.89,1,0,1,0.05,6.86,2,0.38,0.01,46
"7",1,0,3,0,4,0,3.23,173,7.09,4,4,1,65,15.53,36,73.52,7,0.25,1,0,22.89,0.6,2,4,0.02,2,0,2.24,2.95,3,4,15,1.18,16.37,0,4.98,0.05,1,2,6.73,0.11,83,0.83,99.85,6,4,1,0,5,15,0,14,0.4,35,128,2.9,0.61,1,0.04,38,2.31,61,6,4.46,1.42,31.42,19,0,0.6,3.58,0.11,16,0,0.48,0.52,8,11,9.01,0,110
"8",0,0,1,0.07,1,4,2.03,9,0.39,0.06,2,0.51,2,1,9,1,1.47,0.11,1,0,1.52,0.67,1.76,1.46,1.4,0.24,0.05,0.1,0.08,0.36,0.07,6.14,0.02,16.37,0,1.24,0.04,1.65,7,2,0.71,16,0.18,11,1,1.16,1,0.14,32,0.07,0,3,0.44,1.5,15,4,1,0.29,2,1,2.31,2.13,0.95,2,1,1.62,8,0.01,2,0.94,7,0.13,0,1,0.55,1,5,0.02,5,21
"9",0.01,0,4.56,1,45,5.25,3.24,402,1,23.85,0.13,29,14,0.01,7.54,26,3.6,0.03,0.22,0.04,1,0.88,2.45,23,0.21,0.03,1,5.78,5,0.98,0.19,7,3,45.65,0,2,2.14,0.06,0.32,0,2,64.31,10.28,9,1,0.02,0.71,0.91,3.68,1.27,7,9,0.58,2,22,4.37,1,2,0.04,103,2.31,3,1.3,5.82,0.4,62.91,5.46,0.01,5.51,0.02,18.23,3,0,1.34,1.54,1,0.18,0.02,7,27
"10",4.6,0,1.05,0,4.73,0.01,0.81,95,21,4,2.97,9.32,4.04,1,32,16,19,2.85,3,0,5,0.39,7.72,6,0.01,1,0,1.71,11,0.04,4,63,1.01,16.37,0,2.87,0.4,1,4,0.04,0.16,75,1.02,5.29,5,1,3,0,17,2,0,5.91,0.26,111,13,10,11.72,0.03,0.01,2,1.56,83,4,1.17,1,1.68,4,0.17,2,3.58,0,2.5,0,0.08,1,12,0.08,4.74,1,4.42
