"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",3,1.36,10,1,11.7,4,3.23,0.02,3.51,24,67,1.4,3,56,0,113,43,0.73,0.66,1.52,0.13,0.04,0,18,3,6.46,0.02,0,4.48,0.88,18,9,0,3,0.02,0.07,0,48,0.06,1,1.01,26,10,10,2.07,0.04,14,0,0,0,0.09,1.97,0,1,0,0,2,2,2.75,1,0,0.05,6,0.03,27.93,2,0.35,1.31,10,1.19,0.03,21,0.18,13,0,0,25,4,0.22,8
"2",2,2,10,1.92,6,7,15,65,1,5,11,4,1,31,0,46,141,2,2,7,0.21,7,0,59,2,19.42,0.01,4.6,1.83,32,26,1,0.02,0.98,0.04,0.53,0,6.61,0.1,2,5,15.69,1,1,1,0,9.86,0.26,1.02,6,0.02,0.41,1,0.14,3,12,2.97,3,1,0.31,2.95,0,4,34.07,8,3.83,1,22,15,0.18,6,31,9.02,21,0,0,18,4,4,12
"3",1,0.63,7.1,1,23,12,18,45,1,7,134,2,6,3.74,0,16.57,43,3,0.03,3,0.32,1.88,0,29,1.07,88,2,0.08,0,14.5,11,3.96,0.01,2,0.07,6,0,1.18,0.16,0.04,19,37,1,76,13,4,1.36,1,0.04,0.14,27,0.86,4,0.23,0,0.05,4,5,4,2.4,2.71,1.16,2,0.15,1,3.66,3,9.63,0.11,6,1,18,0.06,6,1.21,0,13,3,9,1
"4",2,0.49,4,2,18.71,6,180,2,2,10.27,72,6,2,19,0,1,3,2,1,7,0.4,5,1,134,2,1,0.94,1,1,13,18,3.99,4,5.07,0.28,3.66,1.1,3.31,0.2,2,9,26,20,30.16,5,1,1,2.7,8.15,24.42,0.26,4.72,3,1.42,1,5,2,40.6,3,11.7,0.03,0.18,19.38,20,34,4,85,15,16,25,1,15,5,27,0.01,0.01,13,2,2.96,7.48
"5",4,0.4,4.3,0.02,13,10,50,57.82,0.09,2.11,18,4,13,1,0,105,21,2,1,11,0.21,11.23,0,9,5,19,0.14,0.04,1,1.71,11,8,1,0.35,1,1,0,3.58,0.1,0,1,1.14,19,6.22,7.1,0,8,0,6,0.93,0.07,1.61,0.16,6,3,0.94,26,4,1.03,4,0,0.02,3,6,12,1,2.07,71,0.19,0.18,7,10,6,13,0,0,14,2,0,2
"6",0.49,39,11,3,774,2.33,25,166,5,24,2,2,2.88,22,0,11,54,0.08,3,1.91,1.05,352.91,2.63,53,0.96,8,0.47,7,1,26.68,3,1.34,2,11.69,22.08,7,0,158,0.53,1,66,17,8,615.66,15,1.52,32,7.1,6,4.75,21,23,4,9,2,9,102,3,1.06,7,21,11.03,13,6,37,0.57,40,110,67.17,292,28,25,1,5.42,0,3.94,2.57,1.85,1,49
"7",3,0.03,1,1.32,48.08,27,90,2.1,0.74,1,2,0.42,9,8,0,126,25,1.8,0.14,11,0.27,0.28,0,8,5,8.46,0,5.93,2,18,14,3,0.04,1.19,1,0.13,0,6.35,0.13,0.01,2,1,26,101,51,3,1.24,0,1,5,0,3,0,0.22,0,1,4,6,1,1,0.92,0,1.1,5.13,5,2.47,4.29,22,4.01,0.35,1.38,40,1.39,3,1,1,13,1,0.01,9
"8",1,0.56,13,45.06,11.58,4,41,1.42,2,3,8,3,10,25,0,102,2,1,0.05,8,0.32,0.18,0.81,139,3,3.25,4.14,3,0.97,3,8,2.17,1.15,2,0.08,1,0,81,0.16,0.31,1,27,4,21.34,7.62,0.01,3.42,0.13,0,2,0.35,1.03,0.02,3,0.02,21,6,6.42,4,5.26,0.16,1,4,10,2.33,5,1.26,38,13.58,52,6.04,33,8,16,0,0.02,25,4,0.16,3
"9",3,0.09,8,2,17.69,13,9.09,9,6,11,86,4,5,15,0,1,67,1,0.31,5.55,0.2,0.27,0,29,7,4,1,0,0.2,5,18,7,0.01,1.03,0.08,1,0,15,0.1,0.07,2,18.99,24,6,7.95,4.22,5.47,0.03,0.07,0.04,1,4,1,2,1,0.21,3,9,1,1,0.01,1,5,1,141,9,0.57,58,13,1,21,16,3.3,11,0.03,0,12,1,0.07,17.14
"10",1,12,5,1,31,4,16,34.13,0.66,2,41,2,1,9.6,0,3,27,1,0.99,9,0.16,8,0,22,4,1,1,3.47,2,9,30,10,0.26,4,0.09,3,0,15.31,0.08,0.9,12,4,34,9.46,45,0.38,5,0,0.01,6,8,0.13,0.07,0.01,0,0.03,6,5,2,0.03,27.97,3,1,16.29,17.73,5,8,92,4.62,4,2,15,5.43,13,0.03,0,26,0.9,3,4
