"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",3,0,4,1,8,2,1,0.13,0.04,1,0.13,0.01,0.59,3,1.43,1,1.4,0.11,0.75,13.63,0,0.11,1.86,0,4,0.08,0.1,11,3,5,0,0.15,9,1,0.98,0.01,0,0.05,4.7,21,41,50,1,1,2.6,0.25,19,27,0.88,0.2,10.9,7,25,24,1,5,23,2,36,0.03,0.01,2,1,78,0.46,0.77,22,0.88,0.05,2.98,1,3.19,9,17,153,1,3.25,8,2,16
"2",0.06,0,3,0.47,0.07,0.24,10,0.22,0.16,10,0.12,0.89,6,5,0.16,1.95,2,1.3,0.4,1,0.01,8,3,2.07,22,0.44,0.47,47,4,7,0,0.19,0.49,0.53,1.07,0,0.12,0.3,1,38,6,38,0.25,0.2,5,0.13,11,4,0.47,0.01,0.14,6.18,79,38,0.21,28,34,0,20,0.01,1,21,2,41,4,0.12,21,0,1,1,0,1,53,7.66,38,5,1.73,51,0.09,3.49
"3",0.01,0,9,11,0.06,1,22,1,0.01,3,0.03,1,2,7,1.24,0.48,0.08,1,0.53,2,0.02,14,4,1,0.47,2,0.03,84,30,1.48,0,0.1,0.18,0.7,0.92,1,0.02,0.1,4.3,15,19,4,0.06,0.05,27,0.18,3,0.38,0.61,0,0.11,13,84,5,2,4,19,2.64,22,0.02,0,13,2,36,0.3,0.01,24,0,1.32,5,0.01,0.05,0.06,1.48,67,0.63,1,30,0.02,0.28
"4",0.06,0,12,3,0.21,12,0.4,0.25,0.03,7,0.1,2,0.39,3,3,0.09,2,3,0.38,3,0.03,10,1,1.94,4,1,0.98,71,46,0.67,0.01,0.04,1.4,0.5,1,0,2,1,3.06,12,2,12,4,0.15,9,0.13,14,5,0.44,0.82,2.38,5.14,60,69,0.16,1,2,1.33,25,0,0.01,12,1,7,11,1,7,0,0.76,7,0.75,0.57,0.53,71,69,7,0.9,18,0.1,7.28
"5",0.07,0,15,5,0.18,5,0.71,0.31,0.05,4,1,0.01,9,3,5,1,2.67,1,0.4,3,0.01,3,5,1,13,0.15,0.27,110,24,24,0,1,6,0.53,1.07,0,0,0.55,2,15,15,94,0.1,3,0.45,0.13,2,12,0.47,0.05,0.29,4,41,17,0.06,49,28,1,8,1,0.06,7,3.47,20,0.83,0.03,10,0,1,7,0,4,1.42,5,68,3,1.73,39,0.24,3
"6",23,0,0.12,0.01,1,0.11,44,14,29,1,14,4,4,0.1,23,0,35,0.11,0.75,0.02,3,1.97,0.14,0,16,22,15,0.98,8,10,3.43,40,20,1,0.98,11,1,20,0,18,0.09,1.21,43,6,6,0.25,1.49,0.51,0.88,5,10,0.01,13,5,15,6,3,0,0.28,2,0.17,0.76,0,42,16,11,3.9,0.88,0.04,36,1.02,22,12,139,2.68,1.04,3.25,16,22,18
"7",9,0,3,1.11,7,0.79,37,17,9,2.63,24,12,52,3,25,0.38,72,0.28,0.58,0.33,3,5.18,0.12,3,11,10,16,2,1,20,7,36,11,0.77,0.92,10,1,20,0.06,64,3.39,2,35,41,33,0.19,10.61,5,0.68,4,58,0.02,4,6.05,14,0.52,1.37,0,2,1,1,1,0.02,2,33,1,15.87,0,1.3,17,0,26,13,52,9,1.59,0.01,3,10,25
"8",15,0,1,0.1,18,0.47,18,4,12,0.54,5,67,82,1,68,4.43,10,0.08,0.86,1,5,3,0.07,4.43,17,11,38,35.81,2,98,1,94,92,1,2.29,24.71,14.19,13,0.01,1,3,10.77,81,26,42,0.29,3,2.89,1,4,75,0.06,79.24,1.05,38,7,6,0,4,4,3,6,0.36,21,16,3,2,1,0.04,33,0.03,26,11,40,111,0.17,0,1,24,30
"9",4,0,0.12,0.02,3,0.01,2,25,27,0.05,18,47,78,0.01,2,1.74,56,0.01,0.34,1,6,0.92,0,1.74,17,14,36,0.93,1.87,89,4,19,28,0.45,0.9,1,4,25,0.11,1,1,1.02,65,40,23,0.11,0.28,8,0.39,16,1,0.01,13.17,0.36,9.28,1,0.04,0,0.21,3,1,0.07,2,0.7,50,29,8,0,0.04,1.72,0,29,10,121,13,0.08,0,1,15,10
"10",16,0,3.85,1,5,1,16,24,11,0.08,12,47,3,0.14,17,2.69,29,0.01,0.52,1,7,2,0,2.69,35,10,7,4,7.54,17,6,10,12,0.69,1.39,15,1,48,0.06,4,0.78,3.88,38,34,23,0.17,1,5,0.61,13,138,0,13.73,1.84,6,0.32,0.16,0.01,0.05,6,4,0.49,1,2,3,19,1.25,0,1,12,0,47,34,236,1.26,0.05,2.25,1,10,22
"11",7,0,30.3,1,1,1.64,48,3,0.68,3,24,23,8,7.21,134,0.05,7,1,1,0.05,0.72,10.17,1,5.17,38,5,0.52,170,1,1,0.01,8,62,1.33,2.67,0.54,0.05,24,2,25,15,21,8.99,65.05,67,0.33,40,19.44,1.17,1.17,36,2.06,69,48,6,5.6,3.19,0.34,16,5,3,0.19,1.04,5,3.75,1.95,56,0,2.5,47,0,10,0.95,46,24,7,4.33,23.85,50,8.23
"12",4,0,0.06,2,17,0.01,12,0.05,6,0.02,4,8,25,0.01,0.36,1,38,2,0.52,0,0.05,6,2,1,67,4,23,0.22,2,5.03,3.14,1,0.1,0.69,0.92,1.03,10,12,4.22,0.22,6,2,7,0,3,0.17,0.07,0.02,0.6,0.02,0.04,0.12,9,0.16,20,0.16,16,1,2,8,0.03,12,1,0.37,29,4,15,0,0.94,0.68,0,30,16,6.08,28,1.95,0.04,1,16,26
"13",9,0,34,1,9,0.27,53,6,2.45,1.87,10,11,23,0.34,23.44,3.88,11,0,0.75,1,0.44,1.19,0.18,3.88,20,0.53,9.09,17,48,88,1,50.04,44,1,0.98,0.62,2,37,5.94,6,14,119,49,2,55,0.25,2.94,32.19,0.88,1,13.51,0.03,216.16,19.69,18,1,1.63,0.32,12,1,1,9,2,11,42,9,37,0.88,0.04,56,1.02,7,21,46,49,1,3.25,2,2,70
"14",32,0,44.53,9,4,0.18,27,4,3,0.89,6,23,4,6,49.06,0.6,45,7,0.44,1,1.13,8,2,2,59,2,1,36,4.57,14,0.69,38,18,0.59,1.18,3,3,8,1,60,27,2,23,13,43,0.15,24,3,0.51,11,60,3,31,96,1,1.95,4.96,1,50,4,2,7,3.82,5.46,44,16.34,38.13,0,1,58.31,0,49,28,46,121,6,1.91,49,52,6
