"","DA01128","DA00755","DA01157","DA01259","DA00886","DA00810","DA00491","DA00153","DA00885","DA00318","DA01211","DA01231","DA00953","DA01223","DA00236","DA01203","DA01441","DA01134","DA00346","DA01467","DA00984","DA01482","DA01255","DA01547","DA01571","DA01072","DA01556","DA00565","DA00812","DA00595","DA00997","DA00165","DA01381","DA01073","DA00382","DA01380","DA00621","DA00884","DA00949","DA01588","DA01076","DA00369","DA00581","DA00721","DA01555","DA00658","DA00908","DA01324","DA00383","DA00673","DA01370","DA00703","DA01044","DA01242","DA01501","DA00678","DA01408","DA00632","DA00955","DA00299","DA00498","DA00815","DA01161","DA00603","DA00927","DA01071","DA01291","DA01495","DA00155","DA00307","DA01024","DA01026","DA01109","DA00530","DA01193","DA00331","DA00687","DA00431","DA00896","DA00926"
"Otu00083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.14,0,0.14,0,0,0,0,0,0,0.12,0,0,0,93,0,0,0,0,0,0,0,0,0,0
"Otu00425",0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,2,1,0,0,0,0,0,0,0,0.06,0,0,0,1,0,0,0,0,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,1,0,0,0,0,0,0,0,0.04,0,0,0,1,0,0,0,0,0
"Otu00602",0,0,0,0,0,0,1,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00108",0.01,0,0.02,34,1.24,0,0.01,33.22,0.7,0,0.03,0.21,0.03,1,3,0,29,0.01,1,0.28,66,0,0,21,0,6.48,2,0,0,0.03,0,0,0,40,0,4,0,0.07,0,0,0,0.17,0,0,1.21,0.01,0.06,0,4,0,2,0,0.08,0,1,0,0.1,30,0,0,3,0,76,1,0,0,0.02,0.13,2,0,0,0.02,2,0,0,0.01,5,0.29,0.01,0
"Otu00005",174,266,386,353,303,255,325,89,187,674,117,99,543,630,158,47,7,0.81,474,0.02,47,0.02,19,332.31,14,155,5,147.66,0.43,632,104,0.01,84,6,318,488,235,237,1396.35,192,1148,437,374,127,0.06,30,0.13,281,21,0,62.17,0,2.23,3.4,0.22,109,0.45,67,3,83.64,7.47,898,24,1,16,0.02,1,512.11,334.58,1.19,381,1,0.16,19,86,35,432,30,2,0.05
"Otu00090",0.02,0,0.01,0.01,0,0,5,0,0,0.02,2,1,0.18,1,0.11,0,0,0,0,0,0,0,0,0,0.01,0,0,6,0,2,0,0,0.11,0,0.04,0,2,12,0.03,0.04,0.04,0,2,0,1,0,0,0.38,0,0,0,0,0,0.05,0.01,0,0,0.01,0.01,0,200,0.34,0,0,0,0,0,5.09,0.01,0,0,0,0.01,0,0.02,0,0.01,0,0.01,0.01
"Otu00199",29,0,0,0,0.05,0.1,0,0,0,9,0.05,0,1,0,0,0.03,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Otu00109",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
"Otu00064",0.02,32,0,0,0,0,0,0,0.05,0,0,0,0.01,0,0,1,0,0,22,0,0.02,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.02,0.02,0,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.05,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
"Otu00102",0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.05,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,1,0,0,0,22,0,0.01,0,0,0,0,0,0,0,0
"Otu00516",0,0,0,0,0,0,1,0,0,0,0,0,0.01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,2,0,0,0,0,0,0,0,0,0.09,0.06,0,0.11,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,20,0,0,0,0,0,0,0
"Otu00354",0,0,0,1,0,0,1,0.02,0,0,0,0.01,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0.06,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,4,0,0,0,0,0,0,0,0
